species,origin,redlist
Allium giganteum,NA,NA
Allium hollandicum,NA,NA
Allium karataviense,NA,NA
Allium moly,neo,NA
Allium nutans,NA,NA
Allium oleraceum,native,NA
Allium oreophilum,NA,NA
Allium paradoxum,neo,NA
Allium paradoxum var. normale,NA,NA
Allium paradoxum var. paradoxum,neo,NA
Allium porrum,NA,NA
Allium roseum,neo,NA
Allium rotundum,native,C3
Allium rotundum subsp. rotundum,native,C3
Allium sativum,NA,NA
Allium schoenoprasum,native,C3
Allium schoenoprasum subsp. schoenoprasum,native,C3
Allium scorodoprasum,native,NA
Allium senescens,native,C4a
Allium senescens subsp. montanum,native,C4a
Allium sphaerocephalon,native,C2b
Allium sphaerocephalon subsp. sphaerocephalon,native,C2b
Allium stipitatum,neo,NA
Allium strictum,native,C2r
Allium tuberosum,neo,NA
Allium ursinum,native,C4a
Allium ursinum subsp. ucrainicum,native,C4b
Allium ursinum subsp. ursinum,native,C4a
Allium victorialis,native,C2t
Allium vineale,native,NA
Allium zebdanense,neo,NA
Alnus x pubescens,native,NA
Alnus x silesiaca,NA,NA
Alnus alnobetula,native,C2b
Alnus glutinosa,native,NA
Alnus incana,native,NA
Alnus incana subsp. incana,native,NA
Alnus rugosa,neo,NA
Alopecurus x brachystylus,native,NA
Alopecurus aequalis,native,NA
Alopecurus geniculatus,native,NA
Alopecurus myosuroides,arch,NA
Alopecurus pratensis,native,NA
Alopecurus rendlei,neo,NA
Althaea armeniaca,neo,NA
Althaea hirsuta,neo,NA
Althaea officinalis,native,C2t
Althaea taurinensis,neo,NA
Alyssum alyssoides,native,NA
Alyssum argenteum,NA,NA
Alyssum montanum,native,C3
Alyssum montanum subsp. gmelinii,native,C3
Alyssum murale,neo,NA
Alyssum rostratum,neo,NA
Amaranthus x ozanonii,neo,NA
Amaranthus x ralletii,neo,NA
Amaranthus x soproniensis,neo,NA
Amaranthus x zobelii,neo,NA
Amaranthus acutilobus,NA,NA
Amaranthus albus,neo,NA
Amaranthus blitoides,neo,NA
Amaranthus blitum,arch,C3
Amaranthus blitum agg.,arch,NA
Amaranthus blitum subsp. blitum,arch,C3
Amaranthus bouchonii,neo,NA
Amaranthus caudatus,neo,NA
Amaranthus caudatus x  A. retroflexus,NA,NA
Amaranthus caudatus subsp. caudatus,NA,NA
Amaranthus caudatus subsp. saueri,neo,NA
Amaranthus crispus,neo,NA
Amaranthus deflexus,neo,NA
Amaranthus emarginatus,neo,NA
Amaranthus emarginatus subsp. emarginatus,neo,NA
Amaranthus emarginatus subsp. pseudogracilis,neo,NA
Amaranthus graecizans,neo,NA
Amaranthus graecizans subsp. graecizans,neo,NA
Amaranthus graecizans subsp. sylvestris,arch,A1
Amaranthus graecizans subsp. thellungianus,neo,NA
Amaranthus hybridus,neo,NA
Amaranthus hybridus agg.,neo,NA
Amaranthus hypochondriacus,neo,NA
Amaranthus palmeri,neo,NA
Amaranthus powellii,neo,NA
Amaranthus quitensis,neo,NA
Amaranthus retroflexus,neo,NA
Amaranthus rudis,neo,NA
Amaranthus spinosus,neo,NA
Amaranthus viridis,neo,NA
Ambrosia artemisiifolia,neo,NA
Ambrosia psilostachya,neo,NA
Ambrosia trifida,neo,NA
Amelanchier alnifolia,neo,NA
Amelanchier lamarckii,neo,NA
Amelanchier ovalis,NA,NA
Amelanchier spicata,neo,NA
Ammi majus,neo,NA
Ammi visnaga,neo,NA
Ammobium alatum,neo,NA
Amorpha fruticosa,neo,NA
Amsinckia lycopsoides,neo,NA
Anacamptis x timbalii,native,NA
Anacamptis coriophora,native,A1
Anacamptis coriophora subsp. coriophora,native,A1
Anacamptis morio,native,C1b
Anacamptis morio subsp. morio,native,C1b
Anacamptis palustris,native,C1t
Anacamptis pyramidalis,native,C1b
Anacyclus clavatus,neo,NA
Anagallis x doerfleri,arch,NA
Anagallis arvensis,arch,NA
Anagallis arvensis agg.,arch,NA
Anagallis arvensis f. arvensis,arch,NA
Anagallis arvensis f. caerulea,arch,NA
Anagallis foemina,arch,C3
Anagallis monelli,neo,NA
Anaphalis margaritacea,neo,NA
Anchusa azurea,neo,NA
Anchusa officinalis,arch,NA
Andromeda polifolia,native,C2b
Androsace elongata,arch,C3
Androsace maxima,native,C1t
Androsace septentrionalis,native,C1b
Anemonastrum narcissiflorum,native,C1t
Anemone x seemenii,native,NA
Anemone hupehensis,NA,NA
Anemone nemorosa,native,NA
Anemone ranunculoides,native,NA
Anemone sylvestris,native,C2b
Anethum graveolens,arch,NA
Angelica archangelica,NA,NA
Angelica archangelica subsp. archangelica,NA,NA
Angelica palustris,native,C1t
Angelica sylvestris,native,NA
Angelica sylvestris subsp. bernardiae,native,C4b
Angelica sylvestris subsp. sylvestris,native,NA
Anoda cristata,neo,NA
Antennaria dioica,native,C2t
Anthemis x bollei,NA,NA
Anthemis x ochroleuca,NA,NA
Anthemis arvensis,arch,NA
Anthemis austriaca,arch,C3
Anthemis cotula,arch,C2t
Anthemis cretica,neo,NA
Anthemis cretica subsp. columnae,neo,NA
Anthemis ruthenica,native,C3
Anthemis tinctoria,native,C4a
Anthemis tinctoria subsp. subtinctoria,native,C4a
Anthemis tinctoria subsp. tinctoria,native,C4b
Anthericum liliago,native,C3
Anthericum ramosum,native,C4a
Anthoxanthum alpinum,native,NA
Anthoxanthum aristatum,neo,NA
Anthoxanthum odoratum,native,NA
Anthoxanthum odoratum agg.,native,NA
Anthriscus caucalis,arch,C2t
Anthriscus cerefolium,NA,NA
Anthriscus cerefolium var. cerefolium,NA,NA
Anthriscus cerefolium var. trichocarpus,NA,C4a
Anthriscus nitidus,native,NA
Anthriscus sylvestris,native,NA
Anthriscus sylvestris agg.,native,NA
Anthyllis vulneraria,native,NA
Anthyllis vulneraria subsp. carpatica,native,C4b
Anthyllis vulneraria subsp. polyphylla,native,C4b
Anthyllis vulneraria subsp. pseudovulneraria,native,NA
Antirrhinum majus,NA,NA
Apera interrupta,native,A1
Apera spica-venti,arch,NA
Aphanes arvensis,native,C3
Aphanes australis,native,C1b
Apium graveolens,arch,NA
Aposeris foetida,native,C1r
Aquilegia atrata,neo,NA
Aquilegia flabellata,neo,NA
Aquilegia vulgaris,native,C3
Arabidopsis arenosa,native,NA
Arabidopsis arenosa subsp. arenosa,native,NA
Arabidopsis arenosa subsp. borbasii,native,C4b
Arabidopsis halleri,native,NA
Arabidopsis halleri subsp. halleri,native,NA
Arabidopsis petraea,native,C2r
Arabidopsis thaliana,native,NA
Arabis alpina,neo,NA
Arabis alpina agg.,neo,NA
Arabis auriculata,native,C3
Arabis caucasica,neo,NA
Arabis glabra,native,NA
Arabis hirsuta,native,NA
Arabis hirsuta x  A. nemorensis,NA,NA
Arabis hirsuta x  A. sagittata,NA,NA
Arabis hirsuta agg.,native,NA
Arabis nemorensis,native,C1b
Arabis pauciflora,native,C3
Arabis procurrens,neo,NA
Arabis sagittata,native,C3
Arabis sudetica,native,C1r
Arabis turrita,native,C3
Aralia cordata,neo,NA
Aralia elata,NA,NA
Arctium x ambiguum,arch,NA
Arctium x cimbricum,arch,NA
Arctium x maassii,native,NA
Arctium x mixtum,arch,NA
Arctium x neumannii,arch,NA
Arctium x nothum,arch,NA
Arctium lappa,arch,NA
Arctium minus,native,NA
Arctium nemorosum,native,C4a
Arctium tomentosum,arch,NA
Arctostaphylos uva-ursi,native,C2r
Arctotheca calendula,neo,NA
Aremonia agrimonoides,native,C2r
Aremonia agrimonoides subsp. agrimonoides,native,C2r
Arenaria grandiflora,native,C1r
Arenaria leptoclados,NA,C4b
Arenaria serpyllifolia,native,NA
Arenaria serpyllifolia agg.,native,NA
Arenaria serpyllifolia var. patula,native,NA
Arenaria serpyllifolia var. serpyllifolia,native,NA
Argemone mexicana,neo,NA
Argyranthemum frutescens,NA,NA
Aristolochia clematitis,native,C4a
Aristolochia macrophylla,neo,NA
Armeria elongata,native,C4a
Armeria elongata subsp. elongata,native,C4a
Armeria elongata subsp. serpentini,native,C2r
Armeria maritima,neo,NA
Armoracia rusticana,NA,NA
Arnica montana,native,C3
Arnica montana subsp. montana,native,C3
Arnoseris minima,native,C1t
Aronia x prunifolia,NA,NA
Aronia melanocarpa,NA,NA
Arrhenatherum elatius,arch,NA
Arrhenatherum elatius subsp. elatius,arch,NA
Artemisia abrotanum,NA,NA
Artemisia absinthium,arch,NA
Artemisia alba,neo,C4b
Artemisia alpina,neo,NA
Artemisia annua,neo,NA
Artemisia austriaca,native,A3
Artemisia austriaca agg.,native,NA
Artemisia biennis,neo,NA
Artemisia campestris,native,NA
Artemisia campestris var. campestris,native,NA
Artemisia campestris var. lednicensis,native,NA
Artemisia dracunculus,NA,NA
Artemisia ludoviciana,neo,NA
Artemisia ludoviciana subsp. ludoviciana,neo,NA
Artemisia pancicii,native,C1r
Artemisia pontica,native,C3
Artemisia repens,neo,NA
Artemisia scoparia,arch,C1t
Artemisia siversiana,neo,NA
Artemisia tournefortiana,neo,NA
Artemisia verlotiorum,neo,NA
Artemisia vulgaris,native,NA
Artemisia vulgaris agg.,native,NA
Arum cylindraceum,native,C4a
Arum maculatum,native,C3
Arum maculatum agg.,native,NA
Aruncus dioicus,native,C4a
Arundo donax,NA,NA
Asarum europaeum,native,NA
Asarum europaeum subsp. europaeum,native,NA
Asarum europaeum var. europaeum,native,NA
Asarum europaeum var. romanicum,native,NA
Asclepias syriaca,neo,NA
Asparagus officinalis,NA,NA
Asparagus officinalis subsp. officinalis,NA,NA
Asparagus verticillatus,neo,NA
Asperugo procumbens,arch,C3
Asperula arvensis,arch,A1
Asperula cynanchica,native,NA
Asperula orientalis,neo,NA
Asperula tinctoria,native,C3
Asperula tinctoria subsp. hungarorum,native,A3
Asperula tinctoria subsp. tinctoria,native,C3
Asplenium x alternifolium,native,NA
Asplenium x alternifolium nothosubsp. alternifolium,native,NA
Asplenium x alternifolium nothosubsp. heufleri,native,NA
Asplenium x clermontae,native,NA
Asplenium x poscharskyanum,native,NA
Asplenium x trichomaniforme,native,NA
Asplenium x trichomaniforme nothosubsp. praetermissum,native,NA
Asplenium x woynarianum,native,NA
Asplenium adiantum-nigrum,native,C1r
Asplenium adiantum-nigrum var. silesiacum,NA,NA
Asplenium adulterinum,native,C1r
Asplenium ceterach,native,C1r
Asplenium ceterach subsp. bivalens,NA,NA
Asplenium ceterach subsp. ceterach,native,C1r
Asplenium cuneifolium,native,C2r
Asplenium fontanum,native,NA
Asplenium ruta-muraria,native,NA
Asplenium ruta-muraria subsp. ruta-muraria,native,NA
Asplenium scolopendrium,native,C1r
Asplenium scolopendrium subsp. scolopendrium,native,C1r
Asplenium septentrionale,native,NA
Asplenium septentrionale subsp. septentrionale,native,NA
Asplenium trichomanes,native,NA
Asplenium trichomanes nothosubsp. lovisianum,native,NA
Asplenium trichomanes nothosubsp. lusaticum,native,NA
Asplenium trichomanes nothosubsp. moravicum,native,NA
Asplenium trichomanes nothosubsp. staufferi,native,NA
Asplenium trichomanes subsp. hastatum,native,C1r
Asplenium trichomanes subsp. pachyrachis,native,C1r
Asplenium trichomanes subsp. quadrivalens,native,NA
Asplenium trichomanes subsp. trichomanes,native,NA
Asplenium viride,native,C3
Aster alpinus,native,C1b
Aster amellus,native,C3
Aster amellus subsp. amellus,native,C3
Aster amellus subsp. bessarabicus,native,C3
Astilbe Arendsii Group,neo,NA
Astragalus alopecurus,neo,NA
Astragalus arenarius,native,C1t
Astragalus asper,native,A1
Astragalus austriacus,native,C3
Astragalus cicer,native,NA
Astragalus danicus,native,C3
Astragalus exscapus,native,C2b
Astragalus glycyphyllos,native,NA
Astragalus onobrychis,native,C3
Astragalus sulcatus,neo,NA
Astrantia major,native,NA
Astrantia major subsp. major,native,NA
Astrodaucus orientalis,neo,NA
Athyrium distentifolium,native,NA
Athyrium filix-femina,native,NA
Atocion armeria,neo,NA
Atocion rupestre,native,A2
Atriplex x northusiana,arch,NA
Atriplex hortensis,arch,NA
Atriplex hortensis var. hortensis,arch,NA
Atriplex hortensis var. rubra,arch,NA
Atriplex littoralis,neo,NA
Atriplex micrantha,neo,NA
Atriplex oblongifolia,arch,NA
Atriplex patula,arch,NA
Atriplex prostrata,native,C4a
Atriplex prostrata subsp. latifolia,native,C4a
Atriplex rosea,arch,C1t
Atriplex sagittata,arch,NA
Atriplex semilunaris,neo,NA
Atriplex sibirica,neo,NA
Atriplex tatarica,native,NA
Atropa bella-donna,native,NA
Aubrieta columnae,NA,NA
Aubrieta deltoidea,neo,NA
Aurinia saxatilis,native,C4a
Aurinia saxatilis subsp. saxatilis,native,C4a
Avena barbata,neo,NA
Avena brevis,NA,NA
Avena fatua,arch,NA
Avena sativa,arch,NA
Avena sativa Chinensis Group,neo,NA
Avena sativa Contracta Group,NA,NA
Avena sativa Praegravis Group,neo,NA
Avena sativa Sativa Group,arch,NA
Avena sterilis,neo,NA
Avena sterilis subsp. ludoviciana,neo,NA
Avena sterilis subsp. sterilis,neo,NA
Avena strigosa,arch,A1
Avena vilis,arch,NA
Avenella flexuosa,native,NA
Avenula,native,NA
Axyris amaranthoides,neo,NA
Azolla filiculoides,neo,NA
Ballota nigra,arch,NA
Ballota nigra subsp. meridionalis,neo,NA
Ballota nigra subsp. nigra,arch,NA
Barbarea stricta,native,C3
Barbarea vulgaris,native,NA
Barbarea vulgaris nothosubsp. abortiva,native,NA
Barbarea vulgaris subsp. arcuata,native,C4a
Barbarea vulgaris subsp. vulgaris,native,NA
Bartsia alpina,native,C2r
Basella alba,neo,NA
Bassia laniflora,native,A2
Bassia prostrata,native,C1t
Bassia scoparia,neo,NA
Bassia scoparia subsp. densiflora,neo,NA
Bassia scoparia subsp. scoparia,neo,NA
Bassia scoparia subsp. scoparia ‘Trichophylla’,neo,NA
Beckmannia eruciformis,neo,NA
Beckmannia eruciformis subsp. eruciformis,neo,NA
Beckmannia syzigachne,neo,NA
Begonia x hortensis,NA,NA
Begonia x tuberhybrida,NA,NA
Bellidiastrum michelii,neo,NA
Bellis perennis,native,NA
Berberis julianae,neo,NA
Berberis thunbergii,neo,NA
Berberis vulgaris,native,C4a
Bergenia crassifolia,neo,NA
Berteroa incana,arch,NA
Berteroa incana subsp. incana,arch,NA
Berteroa incana subsp. stricta,neo,NA
Berula erecta,native,C4a
Beta trigyna,neo,NA
Beta vulgaris,NA,NA
Beta vulgaris Altissima Group,neo,NA
Beta vulgaris Cicla Group,NA,NA
Beta vulgaris Rapacea Group,NA,NA
Beta vulgaris Vulgaris Group,arch,NA
Betonica officinalis,native,NA
Betula x aurata,native,NA
Betula x intermedia nothosubsp. x seideliana,native,NA
Betula alleghaniensis,NA,NA
Betula humilis,native,A1
Betula lenta,NA,NA
Betula nana,native,C1r
Betula papyrifera,NA,NA
Betula pendula,native,NA
Betula pendula var. obscura,native,NA
Betula pendula var. oycoviensis,native,C1r
Betula pendula var. pendula,native,NA
Betula petraea,native,NA
Betula pubescens,native,NA
Betula pubescens subsp. carpatica,native,C4b
Betula pubescens subsp. pubescens,native,NA
Bidens x polakii,native,NA
Bidens cernua,native,NA
Bidens connata,neo,NA
Bidens ferulifolia,neo,NA
Bidens frondosa,neo,NA
Bidens pilosa,neo,NA
Bidens radiata,native,NA
Bidens tripartita,native,NA
Bifora radians,NA,C1t
Biscutella laevigata,native,C3
Biscutella laevigata subsp. varia,native,C3
Bistorta affinis,NA,NA
Bistorta amplexicaulis,neo,NA
Bistorta officinalis,native,NA
Blechnum spicant,native,C4a
Blumenbachia hieronymi,neo,NA
Blysmus compressus,native,C2t
Bolboschoenus glaucus,neo,NA
Bolboschoenus laticarpus,native,C4a
Bolboschoenus maritimus,native,C2b
Bolboschoenus maritimus agg.,native,NA
Bolboschoenus planiculmis,native,C4a
Bolboschoenus yagara,native,C3
Borago officinalis,NA,NA
Bothriochloa ischaemum,native,C3
Botrychium lunaria,native,C2b
Botrychium matricariifolium,native,C1t
Botrychium multifidum,native,C1t
Botrychium simplex,native,A1
Bowlesia incana,neo,NA
Brachypodium x cugnacii,native,NA
Brachypodium pinnatum,native,NA
Brachypodium pinnatum agg.,native,NA
Brachypodium rupestre,neo,NA
Brachypodium sylvaticum,native,NA
Brachyscome iberidifolia,NA,NA
Brassica elongata,neo,NA
Brassica elongata subsp. elongata,neo,NA
Brassica elongata subsp. integrifolia,neo,NA
Brassica juncea,neo,NA
Brassica napus,NA,NA
Brassica napus Napobrassica Group,NA,NA
Brassica napus Napus Group,NA,NA
Brassica nigra,arch,NA
Brassica oleracea,arch,NA
Brassica oleracea Botrytis Group,NA,NA
Brassica oleracea Capitata Group,NA,NA
Brassica oleracea Gemmifera Group,NA,NA
Brassica oleracea Gongylodes Group,NA,NA
Brassica oleracea Italica Group,NA,NA
Brassica oleracea Medullosa Group,NA,NA
Brassica oleracea Ramosa Group,NA,NA
Brassica oleracea Sabauda Group,NA,NA
Brassica oleracea Sabellica Group,NA,NA
Brassica oleracea Viridis Group,NA,NA
Brassica rapa,arch,NA
Brassica rapa Chinensis Group,NA,NA
Brassica rapa Nipposinica Group,NA,NA
Brassica rapa Oleifera Group,NA,NA
Brassica rapa Pekinensis Group,NA,NA
Brassica rapa Perviridis Group,NA,NA
Brassica rapa Rapa Group,NA,NA
Brassica rapa var. rapa,arch,NA
Brassica rapa var. sylvestris,neo,NA
Briza maxima,neo,NA
Briza media,native,NA
Briza minor,NA,NA
Bromus arvensis,arch,C1t
Bromus benekenii,native,NA
Bromus briziformis,neo,NA
Bromus bromoideus,neo,NA
Bromus carinatus,neo,NA
Bromus carinatus var. marginatus,neo,NA
Bromus catharticus,neo,NA
Bromus catharticus agg.,neo,NA
Bromus commutatus,arch,C3
Bromus diandrus,neo,NA
Bromus diandrus var. diandrus,neo,NA
Bromus diandrus var. rigidus,neo,NA
Bromus erectus,native,NA
Bromus hordeaceus,arch,NA
Bromus hordeaceus agg.,arch,NA
Bromus hordeaceus subsp. hordeaceus,arch,NA
Bromus inermis,native,NA
Bromus japonicus,arch,C4a
Bromus lanceolatus,neo,NA
Bromus lepidus,neo,NA
Bromus madritensis,neo,NA
Bromus racemosus,native,C1t
Bromus racemosus agg.,native,NA
Bromus ramosus,native,C3
Bromus ramosus agg.,native,NA
Bromus rubens,neo,NA
Bromus scoparius,neo,NA
Bromus secalinus,arch,C1t
Bromus secalinus subsp. secalinus,arch,C1t
Bromus squarrosus,native,C1r
Bromus sterilis,arch,NA
Bromus tectorum,arch,NA
Broussonetia papyrifera,neo,NA
Brunnera macrophylla,neo,NA
Bryonia alba,arch,NA
Bryonia dioica,arch,NA
Buddleja alternifolia,neo,NA
Buddleja davidii,neo,NA
Buglossoides arvensis,arch,NA
Buglossoides arvensis agg.,arch,NA
Buglossoides arvensis subsp. arvensis,arch,NA
Buglossoides incrassata,arch,NA
Buglossoides incrassata subsp. incrassata,neo,NA
Buglossoides incrassata subsp. splitgerberi,arch,NA
Buglossoides purpurocaerulea,native,C4a
Bunias erucago,neo,NA
Bunias orientalis,neo,NA
Bunium bulbocastanum,neo,NA
Buphthalmum salicifolium,native,C1r
Bupleurum x sitenskyi,native,NA
Bupleurum affine,native,C1r
Bupleurum croceum,neo,NA
Bupleurum falcatum,native,NA
Bupleurum falcatum subsp. falcatum,native,NA
Bupleurum longifolium,native,C2b
Bupleurum longifolium subsp. longifolium,native,C2b
Bupleurum longifolium subsp. vapincense,native,C1r
Bupleurum pachnospermum,neo,NA
Bupleurum rotundifolium,arch,C1t
Bupleurum tenuissimum,native,C1t
Butomus umbellatus,native,C4a
Buxus sempervirens,NA,NA
Cakile maritima,neo,NA
Cakile maritima subsp. baltica,neo,NA
Cakile maritima subsp. euxina,neo,NA
Calamagrostis x acutiflora,native,NA
Calamagrostis x hartmaniana,native,NA
Calamagrostis x rigens,native,NA
Calamagrostis x wirtgeniana,native,NA
Calamagrostis arundinacea,native,NA
Calamagrostis canescens,native,NA
Calamagrostis epigejos,native,NA
Calamagrostis pseudophragmites,native,C1t
Calamagrostis purpurea,native,C2b
Calamagrostis rivalis,native,NA
Calamagrostis stricta,native,C1b
Calamagrostis varia,native,C1b
Calamagrostis villosa,native,NA
Calandrinia compressa,neo,NA
Calendula arvensis,neo,NA
Calendula officinalis,NA,NA
Calla palustris,native,C3
Callistephus chinensis,neo,NA
Callitriche x nyrensis,NA,NA
Callitriche x vigens,native,NA
Callitriche cophocarpa,native,NA
Callitriche cophocarpa x  C. hamulata,NA,NA
Callitriche hamulata,native,NA
Callitriche hermaphroditica,native,C1b
Callitriche palustris,native,NA
Callitriche palustris agg.,native,NA
Callitriche platycarpa,native,C3
Callitriche stagnalis,native,NA
Calluna vulgaris,native,NA
Caltha palustris,native,NA
Caltha palustris subsp. cornuta,native,C4b
Caltha palustris subsp. laeta,native,C4b
Caltha palustris subsp. palustris,native,NA
Caltha palustris subsp. procumbens,native,NA
Calycanthus floridus,NA,NA
Calystegia hederacea,neo,NA
Calystegia pulchra,neo,NA
Calystegia sepium,native,NA
Calystegia sepium subsp. sepium,native,NA
Camelina alyssum,arch,A1
Camelina alyssum subsp. alyssum,arch,A1
Camelina alyssum subsp. integerrima,arch,A1
Camelina laxa,neo,NA
Camelina microcarpa,arch,NA
