species,height_min,height_max,height_mean
Anchusa azurea,0.3,1.2,0.75
Anchusa officinalis,0.2,1,0.6
Andromeda polifolia,0.15,0.3,0.225
Androsace elongata,0.03,0.1,0.065
Androsace maxima,0.03,0.15,0.09
Androsace septentrionalis,0.05,0.3,0.175
Anemonastrum narcissiflorum,0.1,0.5,0.3
Anemone hupehensis,NA,1,NA
Anemone nemorosa,0.1,0.25,0.175
Anemone ranunculoides,0.1,0.25,0.175
Anemone sylvestris,0.15,0.5,0.325
Anethum graveolens,0.6,1.2,0.9
Angelica archangelica,0.9,2,1.45
Angelica palustris,0.7,1.4,1.05
Angelica sylvestris,0.6,1.5,1.05
Anoda cristata,0.4,1,0.7
Antennaria dioica,0.07,0.3,0.185
Anthemis arvensis,0.1,0.6,0.35
Anthemis austriaca,0.1,0.6,0.35
Anthemis cotula,0.1,0.5,0.3
Anthemis cretica,0.1,0.2,0.15
Anthemis ruthenica,0.1,0.4,0.25
Anthemis tinctoria,0.25,0.7,0.475
Anthericum liliago,0.3,0.8,0.55
Anthericum ramosum,0.3,0.8,0.55
Anthoxanthum alpinum,0.15,0.25,0.2
Anthoxanthum aristatum,0.05,0.3,0.175
Anthoxanthum odoratum,0.15,0.5,0.325
Anthriscus caucalis,0.15,0.7,0.425
Anthriscus cerefolium,0.2,0.7,0.45
Anthriscus nitidus,0.6,1,0.8
Anthriscus sylvestris,0.5,1.5,1
Anthyllis vulneraria,0.15,0.5,0.325
Antirrhinum majus,0.2,1,0.6
Apera interrupta,0.2,0.6,0.4
Apera spica-venti,0.3,1,0.65
Aphanes arvensis,0.03,0.3,0.165
Aphanes australis,0.03,0.15,0.09
Apium graveolens,0.5,1,0.75
Aposeris foetida,0.05,0.3,0.175
Aquilegia vulgaris,0.3,0.8,0.55
Arabidopsis arenosa,0.15,0.4,0.275
Arabidopsis halleri subsp. halleri,0.15,0.5,0.325
Arabidopsis petraea,0.1,0.25,0.175
Arabidopsis thaliana,0.05,0.3,0.175
Arabis alpina,0.1,0.35,0.225
Arabis auriculata,0.1,0.4,0.25
Arabis caucasica,0.1,0.25,0.175
Arabis glabra,0.5,1.1,0.8
Arabis hirsuta,0.3,0.6,0.45
Arabis nemorensis,0.3,1,0.65
Arabis pauciflora,0.45,0.8,0.625
Arabis procurrens,0.1,0.3,0.2
Arabis sagittata,0.3,0.8,0.55
Arabis sudetica,0.2,0.35,0.275
Arabis turrita,0.3,0.8,0.55
Arctium lappa,0.8,3,1.9
Arctium minus,0.5,1.5,1
Arctium nemorosum,0.9,2,1.45
Arctium tomentosum,0.5,2.3,1.4
Arctostaphylos uva-ursi,0.1,0.3,0.2
Arctotheca calendula,0.2,0.4,0.3
Aremonia agrimonoides,0.08,0.25,0.165
Arenaria grandiflora,0.05,0.15,0.1
Arenaria leptoclados,0.05,0.25,0.15
Arenaria serpyllifolia,0.03,0.4,0.215
Argyranthemum frutescens,0.2,1.2,0.7
Aristolochia clematitis,0.2,0.8,0.5
Aristolochia macrophylla,5,10,7.5
Armeria elongata subsp. elongata,0.2,0.5,0.35
Armeria elongata subsp. serpentini,0.1,0.3,0.2
Armeria maritima,0.1,0.2,0.15
Armoracia rusticana,0.5,1.2,0.85
Arnica montana,0.2,0.6,0.4
Arnoseris minima,0.05,0.25,0.15
Aronia melanocarpa,NA,1.5,NA
Arrhenatherum elatius subsp. elatius,0.6,1.2,0.9
Artemisia abrotanum,0.5,1,0.75
Artemisia absinthium,0.5,1.5,1
Artemisia alba,0.3,0.8,0.55
Artemisia alpina,0.15,0.3,0.225
Artemisia annua,0.5,1.2,0.85
Artemisia austriaca,0.2,0.6,0.4
Artemisia biennis,0.5,1,0.75
Artemisia campestris,0.3,0.8,0.55
Artemisia dracunculus,0.5,1.5,1
Artemisia pancicii,0.2,0.6,0.4
Artemisia pontica,0.3,0.6,0.45
Artemisia repens,0.2,0.6,0.4
Artemisia scoparia,0.3,0.8,0.55
Artemisia siversiana,0.3,1,0.65
Artemisia tournefortiana,0.7,1.5,1.1
Artemisia verlotiorum,0.5,2,1.25
Artemisia vulgaris,0.5,3,1.75
Arum cylindraceum,0.15,0.3,0.225
Arum maculatum,0.15,0.4,0.275
Aruncus dioicus,0.5,2,1.25
Arundo donax,3,8,5.5
Asarum europaeum subsp. europaeum,0.05,0.1,0.075
Asclepias syriaca,1,2,1.5
Asparagus officinalis,0.4,1.5,0.95
Asperugo procumbens,0.2,0.8,0.5
Asperula arvensis,0.1,0.5,0.3
Asperula cynanchica,0.1,0.4,0.25
Asperula tinctoria,0.2,0.6,0.4
Asplenium x alternifolium,0.05,0.2,0.125
Asplenium adiantum-nigrum,0.1,0.25,0.175
Asplenium adulterinum,0.08,0.2,0.14
Asplenium ceterach subsp. ceterach,0.05,0.15,0.1
Asplenium cuneifolium,0.15,0.3,0.225
Asplenium ruta-muraria subsp. ruta-muraria,0.05,0.2,0.125
Asplenium scolopendrium,0.15,0.6,0.375
Asplenium septentrionale,0.05,0.15,0.1
Asplenium trichomanes subsp. hastatum,0.05,0.2,0.125
Asplenium trichomanes subsp. pachyrachis,0.02,0.13,0.075
Asplenium trichomanes subsp. quadrivalens,0.07,0.25,0.16
Asplenium trichomanes subsp. trichomanes,0.04,0.2,0.12
Asplenium viride,0.05,0.2,0.125
Aster alpinus,0.05,0.3,0.175
Aster amellus,0.2,0.6,0.4
Astragalus arenarius,0.15,0.35,0.25
Astragalus asper,0.3,0.8,0.55
Astragalus austriacus,0.1,0.35,0.225
Astragalus cicer,0.2,0.8,0.5
Astragalus danicus,0.08,0.25,0.165
Astragalus exscapus,0.03,0.1,0.065
Astragalus glycyphyllos,0.6,1.5,1.05
Astragalus onobrychis,0.2,0.6,0.4
Astrantia major,0.3,0.8,0.55
Astrodaucus orientalis,0.4,0.6,0.5
Athyrium distentifolium,0.4,1.1,0.75
Athyrium filix-femina,0.3,1.2,0.75
Atocion armeria,0.1,0.5,0.3
Atocion rupestre,0.03,0.2,0.115
Atriplex hortensis,1,2,1.5
Atriplex micrantha,0.8,1.5,1.15
Atriplex oblongifolia,0.3,1.1,0.7
Atriplex patula,0.2,0.8,0.5
Atriplex prostrata,0.2,0.6,0.4
Atriplex rosea,0.2,0.6,0.4
Atriplex sagittata,1,2,1.5
Atriplex tatarica,0.2,0.6,0.4
Atropa bella-donna,0.5,1.5,1
Aubrieta deltoidea,0.07,0.2,0.135
Aurinia saxatilis subsp. saxatilis,0.1,0.4,0.25
Avena barbata,0.4,1,0.7
Avena fatua,0.4,1.5,0.95
Avena sativa Chinensis Group,0.7,1.5,1.1
Avena sativa Contracta Group,0.6,1,0.8
Avena sativa Sativa Group,0.5,1.5,1
Avena sterilis,0.5,1.5,1
Avena strigosa,0.4,1,0.7
Avena vilis,0.4,1.5,0.95
Avenella flexuosa,0.3,0.7,0.5
Axyris amaranthoides,0.25,0.8,0.525
Azolla filiculoides,NA,0.01,NA
Ballota nigra,0.2,0.8,0.5
Barbarea stricta,0.4,1,0.7
Barbarea vulgaris,0.3,0.7,0.5
Bartsia alpina,0.05,0.15,0.1
Bassia laniflora,0.05,0.6,0.325
Bassia prostrata,0.1,0.3,0.2
Bassia scoparia,0.1,1,0.55
Beckmannia eruciformis,0.3,1.5,0.9
Beckmannia syzigachne,0.3,1.2,0.75
Bellidiastrum michelii,0.1,0.3,0.2
Bellis perennis,0.05,0.2,0.125
Berberis julianae,2,3,2.5
Berberis thunbergii,0.5,2,1.25
Berberis vulgaris,1.5,3,2.25
Bergenia crassifolia,0.4,0.7,0.55
Berteroa incana,0.2,0.6,0.4
Berula erecta,0.2,1,0.6
Beta trigyna,1,1.3,1.15
Beta vulgaris,0.5,1.5,1
Betonica officinalis,0.2,0.8,0.5
Betula humilis,0.5,2,1.25
Betula nana,0.2,0.6,0.4
Betula papyrifera,15,30,22.5
Betula pendula,5,25,15
Betula pubescens subsp. carpatica,4,12,8
Betula pubescens subsp. pubescens,8,20,14
Bidens cernua,0.15,0.9,0.525
Bidens connata,0.15,1.5,0.825
Bidens ferulifolia,NA,0.6,NA
Bidens frondosa,0.2,1.8,1
Bidens pilosa,0.1,1,0.55
Bidens radiata,0.15,1.5,0.825
Bidens tripartita,0.1,1.2,0.65
Bifora radians,0.2,0.4,0.3
Biscutella laevigata,0.2,0.4,0.3
Bistorta affinis,0.15,0.3,0.225
Bistorta officinalis,0.3,0.8,0.55
Blechnum spicant,0.1,0.6,0.35
Blysmus compressus,0.1,0.4,0.25
Bolboschoenus glaucus,0.8,2,1.4
Bolboschoenus laticarpus,0.5,1.3,0.9
Bolboschoenus maritimus,0.3,0.8,0.55
Bolboschoenus planiculmis,0.2,0.8,0.5
Bolboschoenus yagara,0.5,1.6,1.05
Borago officinalis,0.2,0.7,0.45
Bothriochloa ischaemum,0.15,0.6,0.375
Botrychium lunaria,0.1,0.25,0.175
Botrychium matricariifolium,0.06,0.2,0.13
Botrychium multifidum,0.06,0.2,0.13
Botrychium simplex,0.08,0.12,0.1
Brachypodium pinnatum,0.4,1,0.7
Brachypodium rupestre,0.4,0.9,0.65
Brachypodium sylvaticum,0.6,1.2,0.9
Brachyscome iberidifolia,0.2,0.3,0.25
Brassica elongata subsp. elongata,0.3,1,0.65
Brassica juncea,0.5,2.5,1.5
Brassica napus,0.5,2,1.25
Brassica nigra,1,2.5,1.75
Brassica oleracea,0.3,1.6,0.95
Brassica rapa,0.5,1.5,1
Briza media,0.2,0.5,0.35
Bromus arvensis,0.3,0.9,0.6
Bromus benekenii,0.5,1.8,1.15
Bromus briziformis,0.2,0.4,0.3
Bromus bromoideus,0.6,1.3,0.95
Bromus carinatus,0.45,1.2,0.825
Bromus catharticus,0.4,1,0.7
Bromus commutatus,0.3,1,0.65
Bromus diandrus var. rigidus,0.35,0.8,0.575
Bromus erectus,0.3,1,0.65
Bromus hordeaceus subsp. hordeaceus,0.1,0.8,0.45
Bromus inermis,0.3,1.3,0.8
Bromus japonicus,0.2,0.6,0.4
Bromus lanceolatus,0.3,0.7,0.5
Bromus lepidus,0.1,0.7,0.4
Bromus madritensis,0.1,0.5,0.3
Bromus racemosus,0.2,0.8,0.5
Bromus ramosus,0.5,1.5,1
Bromus rubens,0.1,0.5,0.3
Bromus scoparius,0.1,0.3,0.2
Bromus secalinus,0.2,1,0.6
Bromus squarrosus,0.2,0.7,0.45
Bromus sterilis,0.3,0.7,0.5
Bromus tectorum,0.1,0.5,0.3
Brunnera macrophylla,0.2,0.5,0.35
Bryonia alba,2,4,3
Bryonia dioica,2,4,3
Buddleja alternifolia,2,4,3
Buddleja davidii,2,5,3.5
Buglossoides arvensis,0.1,0.6,0.35
Buglossoides incrassata,0.05,0.6,0.325
Buglossoides purpurocaerulea,0.3,0.5,0.4
Bunias erucago,0.3,0.6,0.45
Bunias orientalis,0.3,1.2,0.75
Buphthalmum salicifolium,0.2,0.7,0.45
Bupleurum affine,NA,0.75,NA
Bupleurum falcatum,0.3,1.2,0.75
Bupleurum longifolium subsp. longifolium,0.5,0.9,0.7
Bupleurum longifolium subsp. vapincense,0.25,0.5,0.375
Bupleurum pachnospermum,NA,0.75,NA
Bupleurum rotundifolium,0.1,0.6,0.35
Bupleurum tenuissimum,0.05,0.3,0.175
Butomus umbellatus,0.3,1.5,0.9
Buxus sempervirens,1,5,3
Cakile maritima,0.15,0.5,0.325
Calamagrostis arundinacea,0.6,1.5,1.05
Calamagrostis canescens,0.6,1.4,1
Calamagrostis epigejos,0.6,1.5,1.05
Calamagrostis pseudophragmites,0.5,1.5,1
Calamagrostis purpurea,0.8,1.7,1.25
Calamagrostis rivalis,1.3,2,1.65
Calamagrostis stricta,0.3,1,0.65
Calamagrostis varia,0.6,1,0.8
Calamagrostis villosa,0.5,1.3,0.9
Calendula arvensis,0.1,0.25,0.175
Calendula officinalis,0.25,0.5,0.375
Calla palustris,0.15,0.4,0.275
Callistephus chinensis,0.1,0.9,0.5
Callitriche cophocarpa,0.02,1.2,0.61
Callitriche hamulata,0.02,1,0.51
Callitriche hermaphroditica,0.05,1,0.525
Callitriche palustris,0.01,0.7,0.355
Callitriche platycarpa,0.02,1.2,0.61
Callitriche stagnalis,0.02,0.7,0.36
Calluna vulgaris,0.15,0.5,0.325
Caltha palustris,0.2,0.7,0.45
Calycanthus floridus,1,3,2
Calystegia pulchra,0.8,1.5,1.15
Calystegia sepium,1,3,2
Camelina alyssum,0.3,0.7,0.5
Camelina laxa,0.2,0.5,0.35
Camelina microcarpa,0.2,0.6,0.4
Camelina rumelica,0.2,0.6,0.4
Camelina sativa var. sativa,0.3,0.7,0.5
Camelina sativa var. zingeri,0.3,0.6,0.45
Campanula alliariifolia,0.5,0.7,0.6
Campanula barbata,0.1,0.3,0.2
Campanula bohemica,0.15,0.4,0.275
Campanula bononiensis,0.3,0.7,0.5
Campanula cervicaria,0.4,0.6,0.5
Campanula gelida,0.08,0.18,0.13
Campanula gentilis,0.15,0.4,0.275
Campanula glomerata subsp. farinosa,0.1,0.4,0.25
Campanula glomerata subsp. glomerata,0.3,0.7,0.5
Campanula lactiflora,NA,1.2,NA
Campanula latifolia,0.6,1.5,1.05
Campanula medium,0.5,0.9,0.7
Campanula moravica,0.2,0.7,0.45
Campanula patula,0.25,0.7,0.475
Campanula persicifolia,0.5,0.8,0.65
Campanula rapunculoides,0.3,0.8,0.55
Campanula rapunculus,0.3,0.6,0.45
Campanula rhomboidalis,0.2,0.3,0.25
Campanula rotundifolia subsp. rotundifolia,0.2,0.6,0.4
Campanula rotundifolia subsp. sudetica,0.05,0.2,0.125
Campanula sibirica subsp. sibirica,0.15,0.4,0.275
Campanula trachelium,0.3,0.9,0.6
Campsis radicans,2,8,5
Canna indica,0.6,1.8,1.2
Cannabis sativa var. sativa,1.5,4,2.75
Cannabis sativa var. spontanea,0.3,1.5,0.9
Capsella bursa-pastoris,0.05,0.5,0.275
Capsella rubella,0.1,0.4,0.25
Capsicum annuum,0.3,0.8,0.55
Caragana arborescens,2,4,3
Cardamine amara,0.1,0.6,0.35
Cardamine chelidonia,0.1,0.4,0.25
Cardamine dentata,0.2,0.5,0.35
Cardamine flexuosa,0.1,0.35,0.225
Cardamine hirsuta,0.1,0.25,0.175
Cardamine impatiens,0.1,0.8,0.45
Cardamine matthioli,0.1,0.5,0.3
Cardamine parviflora,0.08,0.3,0.19
Cardamine pratensis,0.15,0.5,0.325
Cardamine resedifolia,0.05,0.15,0.1
Cardamine trifolia,0.15,0.3,0.225
Carduus acanthoides,0.5,1.8,1.15
Carduus crispus subsp. crispus,0.6,2,1.3
Carduus nutans subsp. nutans,0.3,1.5,0.9
Carduus personata,0.6,2,1.3
Carex acuta,0.3,1.4,0.85
Carex acuta subsp. acuta,0.5,1.4,0.95
Carex acuta subsp. intermedia,0.3,0.8,0.55
Carex acutiformis,0.4,1.2,0.8
Carex alba,0.1,0.3,0.2
Carex appropinquata,0.4,1,0.7
Carex aterrima,0.3,0.6,0.45
Carex atrata,0.15,0.3,0.225
Carex bigelowii,0.1,0.3,0.2
Carex bohemica,0.05,0.3,0.175
Carex brizoides,0.2,0.5,0.35
Carex buekii,0.5,1.2,0.85
Carex buxbaumii,0.3,0.7,0.5
Carex canescens,0.2,0.5,0.35
Carex capillaris,0.05,0.25,0.15
Carex caryophyllea,0.1,0.5,0.3
Carex cespitosa,0.3,0.8,0.55
Carex chordorrhiza,0.1,0.3,0.2
Carex curvata,0.2,0.5,0.35
Carex davalliana,0.1,0.4,0.25
Carex demissa,0.1,0.4,0.25
Carex depressa,0.1,0.2,0.15
Carex derelicta,0.05,0.15,0.1
Carex diandra,0.3,0.6,0.45
Carex digitata,0.1,0.3,0.2
Carex dioica,0.1,0.3,0.2
Carex distans,0.2,0.8,0.5
Carex disticha,0.3,0.8,0.55
Carex divulsa,0.3,0.9,0.6
Carex echinata,0.1,0.3,0.2
Carex elata,0.4,1.2,0.8
Carex elongata,0.3,0.7,0.5
Carex ericetorum,0.1,0.3,0.2
Carex flacca subsp. flacca,0.1,0.5,0.3
Carex flava,0.2,0.8,0.5
Carex fritschii,0.2,0.6,0.4
Carex hartmanii,0.3,0.7,0.5
Carex hirta,0.2,0.8,0.5
Carex hordeistichos,0.2,0.5,0.35
Carex hostiana,0.2,0.6,0.4
Carex humilis,0.05,0.2,0.125
Carex lasiocarpa,0.4,1,0.7
Carex leersii,0.3,1,0.65
Carex lepidocarpa,0.2,0.7,0.45
Carex leporina,0.05,0.5,0.275
Carex limosa,0.1,0.5,0.3
Carex macroura,0.15,0.4,0.275
Carex magellanica,0.1,0.4,0.25
Carex melanostachya,0.2,0.6,0.4
Carex michelii,0.2,0.4,0.3
Carex montana,0.1,0.4,0.25
Carex muricata,0.3,1.1,0.7
Carex muskingumensis,0.45,0.7,0.575
Carex nigra,0.1,0.8,0.45
Carex obtusata,0.1,0.4,0.25
Carex oederi,0.05,0.25,0.15
Carex ornithopoda,0.05,0.15,0.1
Carex otomana,0.3,1.2,0.75
Carex otrubae,0.2,0.8,0.5
Carex pairae,0.2,0.8,0.5
Carex pallescens,0.1,0.6,0.35
Carex panicea,0.1,0.4,0.25
Carex paniculata subsp. paniculata,0.6,1.4,1
Carex pauciflora,0.1,0.2,0.15
Carex pendula,0.5,1.5,1
Carex pilosa,0.3,0.5,0.4
Carex pilulifera,0.1,0.4,0.25
Carex praecox,0.05,0.4,0.225
Carex pseudobrizoides,0.3,0.6,0.45
Carex pseudocyperus,0.4,1,0.7
Carex pulicaris,0.1,0.3,0.2
Carex remota,0.2,0.5,0.35
Carex rhizina,0.15,0.3,0.225
Carex riparia,0.5,1.5,1
Carex rostrata,0.3,1,0.65
Carex rupestris,0.1,0.2,0.15
Carex secalina,0.1,0.4,0.25
Carex spicata,0.1,1,0.55
Carex stenophylla,0.05,0.2,0.125
Carex strigosa,0.3,1,0.65
Carex supina,0.05,0.25,0.15
Carex sylvatica,0.3,1,0.65
Carex tomentosa,0.2,0.5,0.35
Carex umbrosa,0.2,0.5,0.35
Carex vaginata,0.1,0.4,0.25
Carex vesicaria,0.3,1.2,0.75
Carex vulpina,0.3,0.9,0.6
Carlina acaulis subsp. acaulis,0.01,0.15,0.08
Carlina acaulis subsp. caulescens,0.15,0.4,0.275
Carlina biebersteinii subsp. biebersteinii,0.3,1,0.65
Carlina biebersteinii subsp. brevibracteata,0.2,1.1,0.65
Carlina biebersteinii subsp. sudetica,0.07,0.5,0.285
Carlina vulgaris,0.1,0.5,0.3
Carpinus betulus,6,30,18
Carpinus orientalis,3,5,4
Carthamus tinctorius,0.4,1,0.7
Carum carvi,0.3,0.8,0.55
Castanea sativa,NA,30,NA
Catabrosa aquatica,0.2,0.5,0.35
Catalpa bignonioides,10,15,12.5
Catananche caerulea,0.2,0.9,0.55
Catapodium rigidum,0.03,0.6,0.315
Caucalis platycarpos,0.1,0.3,0.2
Celosia argentea,0.1,0.8,0.45
Celtis occidentalis,10,25,17.5
Cenchrus echinatus,0.2,1,0.6
Centaurea benedicta,0.2,0.6,0.4
Centaurea bruguiereana subsp. belangeriana,0.1,0.5,0.3
Centaurea calcitrapa,0.1,0.6,0.35
Centaurea carniolica,0.4,1,0.7
Centaurea cyanus,0.3,0.8,0.55
Centaurea diffusa,0.2,0.6,0.4
Centaurea erdneri,0.4,1,0.7
Centaurea erdneri x  C. oxylepis,0.3,1,0.65
Centaurea jacea,0.4,1,0.7
Centaurea macrocephala,1,1.5,1.25
Centaurea mollis,0.3,0.6,0.45
Centaurea montana agg.,0.3,0.8,0.55
Centaurea nigra,0.3,1,0.65
Centaurea nigrescens,0.4,1,0.7
Centaurea oxylepis,0.3,1,0.65
Centaurea phrygia,0.4,1,0.7
Centaurea pseudophrygia,0.3,1.2,0.75
Centaurea scabiosa,0.5,1.2,0.85
Centaurea solstitialis,0.3,0.8,0.55
Centaurea stenolepis,0.4,1,0.7
Centaurea stoebe,0.3,1.5,0.9
Centaurea transalpina,0.4,1,0.7
Centaurea triumfetti,0.1,0.4,0.25
Centaurium erythraea,0.1,0.6,0.35
