SPECIES_NR,LETTERCODE,SYNONYM,TurbovegCzechiaSlovakia,Kaplan,ExpertSystem,nonvascular
4646,GENACAM,FALSE,Gentianella campestris,Gentianella campestris subsp. campestris,Gentianella campestris subsp. campestris,0
4654,GENAFAT,FALSE,Gentianella fatrae,Gentianella fatrae,Gentianella fatrae,0
13481,GENAG*P,FALSE,Gentianella germanica ssp. germanica x praecox ssp. b,Gentianella germanica subsp. germanica x G. praecox subsp. bohemica,Gentianella germanica subsp. germanica x G. praecox subsp. bohemica,0
13480,GENAGEA,FALSE,Gentianella germanica ssp. germanica,Gentianella germanica subsp. germanica,Gentianella germanica subsp. germanica,0
13482,GENAGEN,FALSE,Gentianella germanica ssp. solstitialis,Gentianella germanica subsp. solstitialis,Gentianella germanica subsp. solstitialis,0
4648,GENAGER,FALSE,Gentianella germanica,Gentianella germanica,Gentianella germanica s.lat.,0
13483,GENAL-C,FALSE,Gentianella lutescens ssp. carpatica,Gentianella lutescens subsp. carpatica,Gentianella lutescens subsp. carpatica,0
13484,GENAL-L,FALSE,Gentianella lutescens ssp. lutescens,Gentianella lutescens subsp. lutescens,Gentianella lutescens subsp. lutescens,0
14455,GENAL-T,FALSE,Gentianella lutescens ssp. tatrae,Gentianella lutescens ssp. tatrae,Gentianella lutescens ssp. tatrae,0
4650,GENALUT,FALSE,Gentianella lutescens,Gentianella lutescens,Gentianella germanica s.lat.,0
13485,GENAOBT,FALSE,Gentianella obtusifolia ssp. sturmiana,Gentianella obtusifolia subsp. sturmiana,Gentianella obtusifolia subsp. sturmiana,0
4651,GENAPIL,FALSE,Gentianella pilosa,Gentianella pilosa,Gentianella pilosa,0
4652,GENAPRA,FALSE,Gentianella praecox sensu orig.,Gentianella praecox,Gentianella germanica s.lat.,0
13487,GENAPRC,FALSE,Gentianella praecox ssp. praecox,Gentianella praecox subsp. praecox,Gentianella praecox subsp. praecox,0
13486,GENAPRE,FALSE,Gentianella praecox ssp. bohemica,Gentianella praecox subsp. bohemica,Gentianella praecox subsp. bohemica,0
4655,GENA-SP,FALSE,Gentianella species,Gentianella species,Gentianella species,0
4653,GENAULI,FALSE,Gentianella uliginosa,Gentianella uliginosa,Gentianella uliginosa,0
4610,GENIGER,FALSE,Genista germanica,Genista germanica,Genista germanica,0
4615,GENIOVA,FALSE,Genista ovata,Genista ovata,Genista ovata,0
4611,GENIPIL,FALSE,Genista pilosa,Genista pilosa,Genista pilosa,0
4612,GENIRAD,FALSE,Genista radiata,Genista radiata,Genista radiata,0
4613,GENISAG,FALSE,Genista sagittalis,Genista sagittalis,Genista sagittalis,0
4616,GENI-SP,FALSE,Genista species,Genista species,Genista species,0
4614,GENITIN,FALSE,Genista tinctoria,Genista tinctoria,Genista tinctoria,0
4656,GENNCIL,FALSE,Gentianopsis ciliata,Gentianopsis ciliata,Gentianopsis ciliata,0
4657,GENN-SP,FALSE,Gentianopsis species,Gentianopsis species,Gentianopsis species,0
4617,GENTACA,FALSE,Gentiana acaulis,Gentiana acaulis,Gentiana acaulis,0
4618,GENTASC,FALSE,Gentiana asclepiadea,Gentiana asclepiadea,Gentiana asclepiadea,0
4619,GENTBAV,FALSE,Gentiana bavarica,Gentiana bavarica,Gentiana bavarica,0
4620,GENTBRA,FALSE,Gentiana brachyphylla,Gentiana brachyphylla,Gentiana brachyphylla,0
4621,GENTCLU,FALSE,Gentiana clusii,Gentiana clusii,Gentiana clusii,0
4622,GENTCRU,FALSE,Gentiana cruciata,Gentiana cruciata,Gentiana cruciata,0
4623,GENTFRI,FALSE,Gentiana frigida,Gentiana frigida,Gentiana frigida,0
4624,GENTFRO,FALSE,Gentiana froelichii,Gentiana froelichii,Gentiana froelichii,0
4626,GENTL-L,FALSE,Gentiana lutea ssp. lutea,Gentiana lutea subsp. lutea,Gentiana lutea subsp. lutea,0
4625,GENTLUT,FALSE,Gentiana lutea,Gentiana lutea,Gentiana lutea,0
4627,GENTL-V,FALSE,Gentiana lutea ssp. vardjanii,Gentiana lutea ssp. vardjanii,Gentiana lutea ssp. vardjanii,0
4628,GENTNIV,FALSE,Gentiana nivalis,Gentiana nivalis,Gentiana nivalis,0
4629,GENTORB,FALSE,Gentiana orbicularis,Gentiana orbicularis,Gentiana orbicularis,0
4630,GENTPAN,FALSE,Gentiana pannonica,Gentiana pannonica,Gentiana pannonica,0
4631,GENTPNE,FALSE,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe,0
4632,GENTPRO,FALSE,Gentiana prostrata,Gentiana prostrata,Gentiana prostrata,0
4633,GENTPUM,FALSE,Gentiana pumila,Gentiana pumila,Gentiana pumila,0
4634,GENTPUN,FALSE,Gentiana punctata,Gentiana punctata,Gentiana punctata,0
4635,GENTPUR,FALSE,Gentiana purpurea,Gentiana purpurea,Gentiana purpurea,0
4639,GENT-SP,FALSE,Gentiana species,Gentiana species,Gentiana species,0
4636,GENTTER,FALSE,Gentiana terglouensis,Gentiana terglouensis,Gentiana terglouensis,0
4637,GENTUTR,FALSE,Gentiana utriculosa,Gentiana utriculosa,Gentiana utriculosa,0
4638,GENTVER,FALSE,Gentiana verna,Gentiana verna,Gentiana verna,0
4676,GERA#RO,FALSE,Geranium robertianum agg.,Geranium robertianum agg.,Geranium robertianum agg.,0
4660,GERABOH,FALSE,Geranium bohemicum,Geranium bohemicum,Geranium bohemicum,0
4661,GERACOL,FALSE,Geranium columbinum,Geranium columbinum,Geranium columbinum,0
4662,GERADIS,FALSE,Geranium dissectum,Geranium dissectum,Geranium dissectum,0
4663,GERADIV,FALSE,Geranium divaricatum,Geranium divaricatum,Geranium divaricatum,0
13489,GERAIBE,FALSE,Geranium ibericum,Geranium ibericum,Geranium ibericum,0
4664,GERALUC,FALSE,Geranium lucidum,Geranium lucidum,Geranium lucidum,0
4665,GERAMAC,FALSE,Geranium macrorrhizum,Geranium macrorrhizum,Geranium macrorrhizum,0
