SPECIES_NR,LETTERCODE,SHORTNAME,ABBREVIAT,SYNONYM,VALID_NR
1,ABIEALB,Abies alba,Abies alba,FALSE,1
1533,BROMHAE,Bromus catharticus,Bromus willdenowii,TRUE,1534
2,ABIE-SP,Abies species,Abies species,FALSE,2
3,ABITABI,Abietinella abietina,Abietinella abietina,FALSE,3
4,ABITA;A,Abiet abiet var. abiet,Abietinella abietina var. abietina,FALSE,4
5,ABITA;H,Abiet abiet var. hystr,Abietinella abietina var. hystricosa,FALSE,5
6,ABIT-SP,Abietinella species,Abietinella species,FALSE,6
7,ABROBER,Abrothallus bertianus,Abrothallus bertianus,FALSE,7
8,ABROCAE,Abrothallus caerulesce,Abrothallus caerulescens,FALSE,8
9,ABROCET,Abrothallus cetrariae,Abrothallus cetrariae,FALSE,9
10,ABROMIC,Abrothallus microsperm,Abrothallus microspermus,FALSE,10
11,ABROPAR,Abrothallus parmelianu,Abrothallus parmelianus,FALSE,11
12,ABROPEY,Abrothallus peyritschi,Abrothallus peyritschii,FALSE,12
13,ABROPRO,Abrothallus prodiens,Abrothallus prodiens,FALSE,13
14,ABROUSN,Abrothallus usneae,Abrothallus usneae,FALSE,14
15,ABRO-SP,Abrothallus species,Abrothallus species,FALSE,15
16,ABSCANN,Absconditella annexa,Absconditella annexa,FALSE,16
17,ABSCDEL,Absconditella delutula,Absconditella delutula,FALSE,17
18,ABSCFOS,Absconditella fossarum,Absconditella fossarum,FALSE,18
19,ABSCLIG,Absconditell lignicola,Absconditella lignicola,FALSE,19
20,ABSCSPH,Absconditel sphagnorum,Absconditella sphagnorum,FALSE,20
21,ABSCTRI,Absconditell trivialis,Absconditella trivialis,FALSE,21
22,ABSC-SP,Absconditella species,Absconditella species,FALSE,22
23,ABUTTHE,Abutilon theophrasti,Abutilon theophrasti,FALSE,23
24,ABUT-SP,Abutilon species,Abutilon species,FALSE,24
25,ACALVIR,Acalypha virginica,Acalypha virginica,FALSE,25
26,ACAL-SP,Acalypha species,Acalypha species,FALSE,26
27,ACARADM,Acarospora admissa,Acarospora admissa,FALSE,27
28,ACARATR,Acarospora atrata,Acarospora atrata,FALSE,28
29,ACARAUS,Acarospora austriaca,Acarospora austriaca,FALSE,29
30,ACARBAD,Acarospora badiofusca,Acarospora badiofusca,FALSE,30
31,ACARB-B,Acaro badio ssp. badio,Acarospora badiofusca ssp. badiorubra,FALSE,31
32,ACARBUL,Acarospora bullata,Acarospora bullata,FALSE,32
33,ACARCER,Acarospora cervina,Acarospora cervina,FALSE,33
34,ACARC;C,Acaro cervi var. consp,Acarospora cervina var. conspersa,FALSE,34
35,ACARCOM,Acarospora complanata,Acarospora complanata,FALSE,35
36,ACARFRE,Acarospora freyi,Acarospora freyi,FALSE,36
37,ACARFUS,Acarospora fuscata,Acarospora fuscata,FALSE,37
38,ACARGAL,Acarospora gallica,Acarospora gallica,FALSE,38
39,ACARGLA,Acarospora glaucocarpa,Acarospora glaucocarpa,FALSE,39
40,ACARHEP,Acarospora heppii,Acarospora heppii,FALSE,40
41,ACARHEU,Acarospora heufleriana,Acarospora heufleriana,FALSE,41
42,ACARHOS,Acarospora hospitans,Acarospora hospitans,FALSE,42
43,ACARHOT,Acarospora hostilis,Acarospora hostilis,FALSE,43
44,ACARHUN,Acarospora hungarica,Acarospora hungarica,FALSE,44
45,ACARIMP,Acarospora impressula,Acarospora impressula,FALSE,45
46,ACARINS,Acarospora insolata,Acarospora insolata,FALSE,46
47,ACARINT,Acarospora intricata,Acarospora intricata,FALSE,47
48,ACARMAC,Acarospora macrospora,Acarospora macrospora,FALSE,48
49,ACARMEL,Acarospora melaphaca,Acarospora melaphaca,FALSE,49
50,ACARMIS,Acarospora miskoliensi,Acarospora miskoliensis,FALSE,50
51,ACARNIT,Acarospora nitrophila,Acarospora nitrophila,FALSE,51
52,ACARN;P,Acaro nitro var. praer,Acarospora nitrophila var. praeruptorum,FALSE,52
53,ACARN;S,Acaro nitro var. suzai,Acarospora nitrophila var. suzai,FALSE,53
54,ACAROLI,Acarospora oligospora,Acarospora oligospora,FALSE,54
55,ACARPEL,Acarospora peliscypha,Acarospora peliscypha,FALSE,55
56,ACARPYR,Acarospora pyrenopsoid,Acarospora pyrenopsoides,FALSE,56
57,ACARRUG,Acarospora rugulosa,Acarospora rugulosa,FALSE,57
58,ACARSCA,Acarospora scabrida,Acarospora scabrida,FALSE,58
59,ACARSIN,Acarospora sinopica,Acarospora sinopica,FALSE,59
60,ACARSMA,Acarospora smaragdula,Acarospora smaragdula,FALSE,60
61,ACARS;L,Acaro smara var. lesda,Acarospora smaragdula var. lesdainii,FALSE,61
62,ACARS;R,Acaro smara var. rufes,Acarospora smaragdula var. rufescens,FALSE,62
63,ACARS;S,Acaro smara var. smara,Acarospora smaragdula var. smaragdula,FALSE,63
64,ACARTEN,Acarospora tenuicortic,Acarospora tenuicorticata,FALSE,64
65,ACARTON,Acarospora tongletii,Acarospora tongletii,FALSE,65
66,ACARTRU,Acarospora truncata,Acarospora truncata,FALSE,66
67,ACARTYR,Acarospora tyroliensis,Acarospora tyroliensis,FALSE,67
68,ACARUMB,Acarospora umbilicata,Acarospora umbilicata,FALSE,68
69,ACARVAR,Acarospora variegata,Acarospora variegata,FALSE,69
70,ACARVER,Acarospora veronensis,Acarospora veronensis,FALSE,70
71,ACARVES,Acarospora versicolor,Acarospora versicolor,FALSE,71
72,ACAR-SP,Acarospora species,Acarospora species,FALSE,72
73,ACAUCAS,Acaulon casasianum,Acaulon casasianum,FALSE,73
74,ACAUDER,Acaulon dertosense,Acaulon dertosense,FALSE,74
75,ACAUFON,Acaulon fontiquerianum,Acaulon fontiquerianum,FALSE,75
76,ACAUMUT,Acaulon muticum,Acaulon muticum,FALSE,76
77,ACAUPIL,Acaulon piligerum,Acaulon piligerum,FALSE,77
78,ACAUTRI,Acaulon triquetrum,Acaulon triquetrum,FALSE,78
79,ACAU-SP,Acaulon species,Acaulon species,FALSE,79
80,ACERCAM,Acer campestre,Acer campestre,FALSE,80
81,ACERMON,Acer monspessulanum,Acer monspessulanum,FALSE,81
82,ACERNEG,Acer negundo,Acer negundo,FALSE,82
83,ACERPLA,Acer platanoides,Acer platanoides,FALSE,83
84,ACERPSE,Acer pseudoplatanus,Acer pseudoplatanus,FALSE,84
85,ACERPSU,"Acer pseudo mod. ""pros","Acer pseudoplatanus mod. ""prostrata""",FALSE,85
86,ACERSAC,Acer saccharinum,Acer saccharinum,FALSE,86
87,ACERSAH,Acer saccharum,Acer saccharum,FALSE,87
88,ACERTAT,Acer tataricum,Acer tataricum,FALSE,88
89,ACER-SP,Acer species,Acer species,FALSE,89
90,ACEAANT,Aceras anthropophorum,Aceras anthropophorum,FALSE,90
91,ACEA-SP,Aceras species,Aceras species,FALSE,91
92,ACHIAGE,Achillea ageratum,Achillea ageratum,FALSE,92
93,ACHIASP,Achillea aspleniifolia,Achillea aspleniifolia,FALSE,93
94,ACHI#AT,Achillea atrata agg.,Achillea atrata agg.,FALSE,94
95,ACHIATR,Achillea atrata,Achillea atrata,FALSE,95
96,ACHICLA,Achillea clavennae,Achillea clavennae,FALSE,96
97,ACHICLU,Achillea clusiana,Achillea clusiana,FALSE,97
98,ACHICOL,Achillea collina,Achillea collina,FALSE,98
99,ACHICRI,Achillea crithmifolia,Achillea crithmifolia,FALSE,99
100,ACHIDIS,Achillea distans,Achillea distans,FALSE,100
101,ACHID-D,Achil dista ssp. dista,Achillea distans ssp. distans,FALSE,101
102,ACHID-S,Achil dista ssp. styri,Achillea distans ssp. styriaca,FALSE,102
103,ACHIFIL,Achillea filipendulina,Achillea filipendulina,FALSE,103
104,ACHIGRA,Achillea grandifolia,Achillea grandifolia,FALSE,104
105,ACHIMAC,Achillea macrophylla,Achillea macrophylla,FALSE,105
106,ACHI#MI,Achillea millefol agg.,Achillea millefolium agg.,FALSE,106
107,ACHIMIL,Achillea millefolium,Achillea millefolium,FALSE,107
108,ACHIM-M,Achil mille ssp. mille,Achillea millefolium ssp. millefolium,FALSE,108
109,ACHIM-S,Achil mille ssp. sudet,Achillea millefolium ssp. sudetica,FALSE,109
110,ACHIMOS,Achillea moschata,Achillea moschata,FALSE,110
111,ACHINOB,Achillea nobilis,Achillea nobilis,FALSE,111
112,ACHIN-N,Achil nobil ssp. neilr,Achillea nobilis ssp. neilreichii,FALSE,112
113,ACHIOCH,Achillea ochroleuca,Achillea ochroleuca,FALSE,113
114,ACHIOXY,Achillea oxyloba,Achillea oxyloba,FALSE,114
115,ACHIPAN,Achillea pannonica,Achillea pannonica,FALSE,115
116,ACHIPRA,Achillea pratensis,Achillea pratensis,FALSE,116
117,ACHIPTA,Achillea ptarmica,Achillea ptarmica,FALSE,117
118,ACHIROS,Achillea roseoalba,Achillea roseoalba,FALSE,118
119,ACHISET,Achillea setacea,Achillea setacea,FALSE,119
120,ACHISTR,Achillea stricta,Achillea stricta,FALSE,120
121,ACHITOM,Achillea tomentosa,Achillea tomentosa,FALSE,121
122,ACHI-SP,Achillea species,Achillea species,FALSE,122
123,ACHNCAL,Achnatherum calamagros,Achnatherum calamagrostis,FALSE,123
124,ACHN-SP,Achnatherum species,Achnatherum species,FALSE,124
125,ACINALP,Acinos alpinus,Acinos alpinus,FALSE,125
126,ACINARV,Acinos arvensis,Acinos arvensis,FALSE,126
127,ACINA-A,Acino arven ssp. arven,Acinos arvensis ssp. arvensis,FALSE,127
128,ACINA-V,Acino arven ssp. villo,Acinos arvensis ssp. villosus,FALSE,128
129,ACIN-SP,Acinos species,Acinos species,FALSE,129
130,ACONANT,Aconitum anthora,Aconitum anthora,FALSE,130
131,ACONDEG,Aconitum degenii,Aconitum degenii,FALSE,131
132,ACOND-P,Aconi degen ssp. panic,Aconitum degenii ssp. paniculatum,FALSE,132
133,ACONLYC,Aconitum lycoctonum,Aconitum lycoctonum,FALSE,133
134,ACONL-M,Aconi lycoc ssp. molda,Aconitum lycoctonum ssp. moldavicum,FALSE,134
135,ACONL-R,Aconi lycoc ssp. ranun,Aconitum lycoctonum ssp. ranunculifolium,FALSE,135
136,ACONL-V,Aconi lycoc ssp. vulpa,Aconitum lycoctonum ssp. vulparia,FALSE,136
137,ACON#NA,Aconitum napellus agg.,Aconitum napellus agg.,FALSE,137
138,ACONNAP,Aconitum napellus,Aconitum napellus,FALSE,138
139,ACONN-F,Aconi napel ssp. formo,Aconitum napellus ssp. formosum,FALSE,139
140,ACONN-N,Aconi napel ssp. neomo,Aconitum napellus ssp. neomontanum,FALSE,140
141,ACONN-V,Aconi napel ssp. vulga,Aconitum napellus ssp. vulgare,FALSE,141
142,ACONPIL,Aconitum pilipes,Aconitum pilipes,FALSE,142
143,ACONTAU,Aconitum tauricum,Aconitum tauricum,FALSE,143
144,ACON#VA,Aconitum variegat agg.,Aconitum variegatum agg.,FALSE,144
145,ACONVAR,Aconitum variegatum,Aconitum variegatum,FALSE,145
146,ACONV-N,Aconi varie ssp. nasut,Aconitum variegatum ssp. nasutum,FALSE,146
147,ACONV-V,Aconi varie ssp. varie,Aconitum variegatum ssp. variegatum,FALSE,147
148,ACONLAS,Aconitum lasiocarpum,Aconitum lasiocarpum,FALSE,148
149,ACONN-I,"Acon nape ssp. fir ""fi","Aconitum napellus ssp. firmum ""firmum""",FALSE,149
150,ACONN-R,"Acon nape ssp. fir ""mo","Aconitum napellus ssp. firmum ""moravicum""",FALSE,150
151,ACONN-M,Acon nape ssp. fir s.l,Aconitum napellus ssp. firmum s.lat.,FALSE,151
152,ACONN-H,Aco nap ssp hia sen or,Aconitu napellu ssp. hians sensu orig.,FALSE,152
153,ACON-SP,Aconitum species,Aconitum species,FALSE,153
154,ACORCAL,Acorus calamus,Acorus calamus,FALSE,154
155,ACOR-SP,Acorus species,Acorus species,FALSE,155
156,ACRERHA,Acremonium rhabdosporu,Acremonium rhabdosporum,FALSE,156
157,ACRE-SP,Acremonium species,Acremonium species,FALSE,157
158,ACROWIL,Acrobolbus wilsonii,Acrobolbus wilsonii,FALSE,158
159,ACRO-SP,Acrobolbus species,Acrobolbus species,FALSE,159
160,ACRCCAV,Acrocordia cavata,Acrocordia cavata,FALSE,160
161,ACRCCON,Acrocordia conoidea,Acrocordia conoidea,FALSE,161
162,ACRCC;S,Acroc conoi var. suzai,Acrocordia conoidea var. suzai,FALSE,162
163,ACRCGEM,Acrocordia gemmata,Acrocordia gemmata,FALSE,163
164,ACRC-SP,Acrocordia species,Acrocordia species,FALSE,164
165,ACRPREP,Acroptilon repens,Acroptilon repens,FALSE,165
166,ACRP-SP,Acroptilon species,Acroptilon species,FALSE,166
167,ACTASPI,Actaea spicata,Actaea spicata,FALSE,167
168,ACTA-SP,Actaea species,Actaea species,FALSE,168
169,ADELDEC,Adelanthus decipiens,Adelanthus decipiens,FALSE,169
170,ADELLIN,Adelanthus lindenbergi,Adelanthus lindenbergianus,FALSE,170
171,ADEL-SP,Adelanthus species,Adelanthus species,FALSE,171
172,ADEOALP,Adelococcus alpestris,Adelococcus alpestris,FALSE,172
173,ADEOINT,Adelococcus interlaten,Adelococcus interlatens,FALSE,173
174,ADEO-SP,Adelococcus species,Adelococcus species,FALSE,174
175,ADEEPIL,Adelolecia pilati,Adelolecia pilati,FALSE,175
176,ADEE-SP,Adelolecia species,Adelolecia species,FALSE,176
177,ADENLIL,Adenophora liliifolia,Adenophora liliifolia,FALSE,177
178,ADEN-SP,Adenophora species,Adenophora species,FALSE,178
179,ADESALL,Adenostyles alliariae,Adenostyles alliariae,FALSE,179
180,ADESGLA,Adenostyles glabra,Adenostyles glabra,FALSE,180
181,ADESLEU,Adenostyles leucophyll,Adenostyles leucophylla,FALSE,181
182,ADES-SP,Adenostyles species,Adenostyles species,FALSE,182
183,ADONAES,Adonis aestivalis,Adonis aestivalis,FALSE,183
184,ADONANN,Adonis annua,Adonis annua,FALSE,184
185,ADONFLA,Adonis flammea,Adonis flammea,FALSE,185
186,ADONVER,Adonis vernalis,Adonis vernalis,FALSE,186
187,ADON-SP,Adonis species,Adonis species,FALSE,187
188,ADOXMOS,Adoxa moschatellina,Adoxa moschatellina,FALSE,188
189,ADOX-SP,Adoxa species,Adoxa species,FALSE,189
190,AEGICYL,Aegilops cylindrica,Aegilops cylindrica,FALSE,190
191,AEGIGEN,Aegilops geniculata,Aegilops geniculata,FALSE,191
192,AEGI-SP,Aegilops species,Aegilops species,FALSE,192
193,AEGOPOD,Aegopodium podagraria,Aegopodium podagraria,FALSE,193
194,AEGO-SP,Aegopodium species,Aegopodium species,FALSE,194
195,AESCHIP,Aesculus hippocastanum,Aesculus hippocastanum,FALSE,195
196,AESC-SP,Aesculus species,Aesculus species,FALSE,196
197,AETHSAX,Aethionema saxatile,Aethionema saxatile,FALSE,197
198,AETH-SP,Aethionema species,Aethionema species,FALSE,198
199,AETUCYN,Aethusa cynapium,Aethusa cynapium,FALSE,199
200,AETUC-A,Aethu cynap ssp. agres,Aethusa cynapium ssp. agrestis,FALSE,200
201,AETUC-C,Aethu cynap ssp. cynao,Aethusa cynapium ssp. cynapioides,FALSE,201
202,AETUC-Y,Aethu cynap ssp. cynau,Aethusa cynapium ssp. cynapium,FALSE,202
203,AETU-SP,Aethusa species,Aethusa species,FALSE,203
204,AGERALT,Ageratina altissima,Ageratina altissima,FALSE,204
205,AGER-SP,Ageratina species,Ageratina species,FALSE,205
206,AGEAHOU,Ageratum houstonianum,Ageratum houstonianum,FALSE,206
207,AGEA-SP,Ageratum species,Ageratum species,FALSE,207
208,AGONTRI,Agonimia tristicula,Agonimia tristicula,FALSE,208
209,AGON-SP,Agonimia species,Agonimia species,FALSE,209
210,AGRIEUP,Agrimonia eupatoria,Agrimonia eupatoria,FALSE,210
211,AGRIE-E,Agrim eupat ssp. eupat,Agrimonia eupatoria ssp. eupatoria,FALSE,211
212,AGRIE-G,Agrim eupat ssp. grand,Agrimonia eupatoria ssp. grandis,FALSE,212
213,AGRIPRO,Agrimonia procera,Agrimonia procera,FALSE,213
214,AGRIPIL,Agrimonia pilosa,Agrimonia pilosa,FALSE,214
215,AGRI-SP,Agrimonia species,Agrimonia species,FALSE,215
216,AGRODES,Agropyron desertorum,Agropyron desertorum,FALSE,216
217,AGROPEC,Agropyron pectiniforme,Agropyron pectiniforme,FALSE,217
218,AGRO-SP,Agropyron species,Agropyron species,FALSE,218
219,AGRSGIT,Agrostemma githago,Agrostemma githago,FALSE,219
220,AGRSG;L,Agros githa var. linic,Agrostemma githago var. linicola,FALSE,220
221,AGRS-SP,Agrostemma species,Agrostemma species,FALSE,221
222,AGRTAGR,Agrostis agrostiflora,Agrostis agrostiflora,FALSE,222
223,AGRT#AL,Agrostis alpina agg.,Agrostis alpina agg.,FALSE,223
224,AGRTALP,Agrostis alpina,Agrostis alpina,FALSE,224
225,AGRT#CA,Agrostis canina agg.,Agrostis canina agg.,FALSE,225
226,AGRTCAN,Agrostis canina,Agrostis canina,FALSE,226
227,AGRTCAP,Agrostis capillaris,Agrostis capillaris,FALSE,227
228,AGRTCAS,Agrostis castellana,Agrostis castellana,FALSE,228
229,AGRTGIG,Agrostis gigantea,Agrostis gigantea,FALSE,229
230,AGRTHYE,Agrostis hyemalis,Agrostis hyemalis,FALSE,230
231,AGRTRUP,Agrostis rupestris,Agrostis rupestris,FALSE,231
232,AGRTSCH,Agrostis schleicheri,Agrostis schleicheri,FALSE,232
233,AGRT#ST,Agrostis stolonif agg.,Agrostis stolonifera agg.,FALSE,233
234,AGRTSTO,Agrostis stolonifera,Agrostis stolonifera,FALSE,234
235,AGRTVIN,Agrostis vinealis,Agrostis vinealis,FALSE,235
236,AGRTNEB,Agrostis nebulosa,Agrostis nebulosa,FALSE,236
237,AGRT-SP,Agrostis species,Agrostis species,FALSE,237
238,AGYRRUF,Agyrium rufum,Agyrium rufum,FALSE,238
239,AGYR-SP,Agyrium species,Agyrium species,FALSE,239
240,AILAALT,Ailanthus altissima,Ailanthus altissima,FALSE,240
241,AILA-SP,Ailanthus species,Ailanthus species,FALSE,241
242,AIRACAR,Aira caryophyllea,Aira caryophyllea,FALSE,242
243,AIRAELE,Aira elegantissima,Aira elegantissima,FALSE,243
244,AIRAPRA,Aira praecox,Aira praecox,FALSE,244
245,AIRA-SP,Aira species,Aira species,FALSE,245
246,AJUGCHA,Ajuga chamaepitys,Ajuga chamaepitys,FALSE,246
247,AJUGGEN,Ajuga genevensis,Ajuga genevensis,FALSE,247
248,AJUGPYR,Ajuga pyramidalis,Ajuga pyramidalis,FALSE,248
249,AJUGREP,Ajuga reptans,Ajuga reptans,FALSE,249
250,AJUG-SP,Ajuga species,Ajuga species,FALSE,250
251,ALCEBIE,Alcea biennis,Alcea biennis,FALSE,251
252,ALCEROS,Alcea rosea,Alcea rosea,FALSE,252
253,ALCE-SP,Alcea species,Alcea species,FALSE,253
254,ALCHACR,Alchemilla acrodon,Alchemilla acrodon,FALSE,254
255,ALCHACU,Alchemilla acutata,Alchemilla acutata,FALSE,255
256,ALCHAGG,Alchemilla aggregata,Alchemilla aggregata,FALSE,256
257,ALCHALP,Alchemilla alpigena,Alchemilla alpigena,FALSE,257
258,ALCH#AL,Alchemilla alpina agg.,Alchemilla alpina agg.,FALSE,258
259,ALCHALI,Alchemilla alpina,Alchemilla alpina,FALSE,259
260,ALCHANI,Alchemilla anisiaca,Alchemilla anisiaca,FALSE,260
261,ALCHANT,Alchemilla antiropata,Alchemilla antiropata,FALSE,261
262,ALCHATR,Alchemilla atrovirens,Alchemilla atrovirens,FALSE,262
263,ALCHBAL,Alchemilla baltica,Alchemilla baltica,FALSE,263
264,ALCHCAT,Alchemilla cataractaru,Alchemilla cataractarum,FALSE,264
265,ALCHCIN,Alchemilla cinerea,Alchemilla cinerea,FALSE,265
266,ALCHCOL,Alchemilla colorata,Alchemilla colorata,FALSE,266
267,ALCHCOM,Alchemilla compta,Alchemilla compta,FALSE,267
268,ALCH#CO,Alchemil conjunct agg.,Alchemilla conjuncta agg.,FALSE,268
269,ALCHCON,Alchemilla connivens,Alchemilla connivens,FALSE,269
270,ALCHCOR,Alchemilla corcontica,Alchemilla corcontica,FALSE,270
271,ALCHCOI,Alchemilla coriacea,Alchemilla coriacea,FALSE,271
272,ALCHCRA,Alchemilla crassa,Alchemilla crassa,FALSE,272
273,ALCHCRI,Alchemilla crinita,Alchemilla crinita,FALSE,273
274,ALCHCUR,Alchemilla curta,Alchemilla curta,FALSE,274
275,ALCHCUT,Alchemilla curtiloba,Alchemilla curtiloba,FALSE,275
276,ALCHCUS,Alchemilla cuspidens,Alchemilla cuspidens,FALSE,276
277,ALCHCYM,Alchemilla cymatophyll,Alchemilla cymatophylla,FALSE,277
278,ALCHDEC,Alchemilla decumbens,Alchemilla decumbens,FALSE,278
279,ALCHEFF,Alchemilla effusa,Alchemilla effusa,FALSE,279
280,ALCHEXI,Alchemilla exigua,Alchemilla exigua,FALSE,280
281,ALCHFAL,Alchemilla fallax,Alchemilla fallax,FALSE,281
282,ALCHFIL,Alchemilla filicaulis,Alchemilla filicaulis,FALSE,282
283,ALCHF-F,Alche filic ssp. filic,Alchemilla filicaulis ssp. filicaulis,FALSE,283
284,ALCHF-V,Alche filic ssp. vesti,Alchemilla filicaulis ssp. vestita,FALSE,284
285,ALCH#FI,Alchemilla fissa agg.,Alchemilla fissa agg.,FALSE,285
286,ALCHFIS,Alchemilla fissa,Alchemilla fissa,FALSE,286
287,ALCHFLA,Alchemilla flabellata,Alchemilla flabellata,FALSE,287
288,ALCHFLC,Alchemilla flaccida,Alchemilla flaccida,FALSE,288
289,ALCHGLA,Alchemilla glabra,Alchemilla glabra,FALSE,289
290,ALCHGLC,Alchemilla glacialis,Alchemilla glacialis,FALSE,290
291,ALCHGLU,Alchemilla glaucescens,Alchemilla glaucescens,FALSE,291
292,ALCHGLO,Alchemilla glomerulans,Alchemilla glomerulans,FALSE,292
293,ALCHGRA,Alchemilla gracillima,Alchemilla gracillima,FALSE,293
294,ALCHGRO,Alchemilla grossidens,Alchemilla grossidens,FALSE,294
295,ALCHGRU,Alchemilla gruneica,Alchemilla gruneica,FALSE,295
296,ALCHHIR,Alchemilla hirtipes,Alchemilla hirtipes,FALSE,296
297,ALCHHOP,Alchemilla hoppeana,Alchemilla hoppeana,FALSE,297
298,ALCH#HY,Alchemill hybrida agg.,Alchemilla hybrida agg.,FALSE,298
299,ALCHIMP,Alchemilla impexa,Alchemilla impexa,FALSE,299
300,ALCHINC,Alchemilla incisa,Alchemilla incisa,FALSE,300
301,ALCHINO,Alchemilla inconcinna,Alchemilla inconcinna,FALSE,301
302,ALCHKER,Alchemilla kerneri,Alchemilla kerneri,FALSE,302
303,ALCHLIN,Alchemilla lineata,Alchemilla lineata,FALSE,303
304,ALCHLON,Alchemilla longana,Alchemilla longana,FALSE,304
305,ALCHLOG,Alchemilla longituba,Alchemilla longituba,FALSE,305
306,ALCHMAT,Alchemilla matreiensis,Alchemilla matreiensis,FALSE,306
307,ALCHMAU,Alchemilla maureri,Alchemilla maureri,FALSE,307
308,ALCHMIC,Alchemilla micans,Alchemilla micans,FALSE,308
309,ALCHMOL,Alchemilla mollis,Alchemilla mollis,FALSE,309
310,ALCHMON,Alchemilla monticola,Alchemilla monticola,FALSE,310
311,ALCHNIT,Alchemilla nitida,Alchemilla nitida,FALSE,311
312,ALCHNOR,Alchemilla norica,Alchemilla norica,FALSE,312
313,ALCHOBS,Alchemilla obscura,Alchemilla obscura,FALSE,313
314,ALCHOBO,Alchemilla obsoleta,Alchemilla obsoleta,FALSE,314
315,ALCHOBT,Alchemilla obtusa,Alchemilla obtusa,FALSE,315
316,ALCHO-O,Alche obtus ssp. obtus,Alchemilla obtusa ssp. obtusa,FALSE,316
317,ALCHO-T,Alche obtus ssp. trape,Alchemilla obtusa ssp. trapezialis,FALSE,317
318,ALCHOTH,Alchemilla othmarii,Alchemilla othmarii,FALSE,318
319,ALCHPAL,Alchemilla pallens,Alchemilla pallens,FALSE,319
320,ALCHPEN,Alchemilla pentaphylle,Alchemilla pentaphyllea,FALSE,320
321,ALCHPHI,Alchemilla philonotis,Alchemilla philonotis,FALSE,321
322,ALCHPLA,Alchemilla platygyria,Alchemilla platygyria,FALSE,322
323,ALCHPLI,Alchemilla plicata,Alchemilla plicata,FALSE,323
324,ALCHPRO,Alchemilla propinqua,Alchemilla propinqua,FALSE,324
325,ALCHREN,Alchemilla reniformis,Alchemilla reniformis,FALSE,325
326,ALCHRHO,Alchemilla rhododendro,Alchemilla rhododendrophila,FALSE,326
327,ALCHRUB,Alchemilla rubristipul,Alchemilla rubristipula,FALSE,327
328,ALCHSAX,Alchemilla saxatilis,Alchemilla saxatilis,FALSE,328
329,ALCHSEM,Alchemilla semihirta,Alchemilla semihirta,FALSE,329
330,ALCHSEI,Alchemilla semisecta,Alchemilla semisecta,FALSE,330
331,ALCHSER,Alchemilla sericoneura,Alchemilla sericoneura,FALSE,331
332,ALCHSIN,Alchemilla sinuata,Alchemilla sinuata,FALSE,332
333,ALCH#SP,Alchemil splenden agg.,Alchemilla splendens agg.,FALSE,333
334,ALCHSPL,Alchemilla splendens,Alchemilla splendens,FALSE,334
335,ALCHSTI,Alchemilla stiriaca,Alchemilla stiriaca,FALSE,335
336,ALCHSTR,Alchemilla straminea,Alchemilla straminea,FALSE,336
337,ALCHSTG,Alchemilla strigosula,Alchemilla strigosula,FALSE,337
338,ALCHSUA,Alchemilla suavis,Alchemilla suavis,FALSE,338
339,ALCHSUB,Alchemilla subcrenata,Alchemilla subcrenata,FALSE,339
340,ALCHSUG,Alchemilla subglobosa,Alchemilla subglobosa,FALSE,340
341,ALCHSUS,Alchemilla subsericea,Alchemilla subsericea,FALSE,341
342,ALCHTEN,Alchemilla tenuis,Alchemilla tenuis,FALSE,342
343,ALCHTIR,Alchemilla tirolensis,Alchemilla tirolensis,FALSE,343
344,ALCHTYT,Alchemilla tytthantha,Alchemilla tytthantha,FALSE,344
345,ALCHUND,Alchemilla undulata,Alchemilla undulata,FALSE,345
346,ALCHURS,Alchemilla ursina,Alchemilla ursina,FALSE,346
347,ALCHVEL,Alchemilla velebitica,Alchemilla velebitica,FALSE,347
348,ALCHVER,Alchemilla versipila,Alchemilla versipila,FALSE,348
349,ALCH#VU,Alchemil vulgaris agg.,Alchemilla vulgaris agg.,FALSE,349
350,ALCHVUL,Alchemi vulgari s.str.,Alchemilla vulgaris s.str.,FALSE,350
351,ALCHWAL,Alchemilla walasii,Alchemilla walasii,FALSE,351
352,ALCHXAN,Alchemilla xanthochlor,Alchemilla xanthochlora,FALSE,352
353,ALCHACO,Alchemilla acrostegia,Alchemilla acrostegia,FALSE,353
354,ALCHAEQ,Alchemilla aequidens,Alchemilla aequidens,FALSE,354
355,ALCHAMA,Alchemilla amauroptera,Alchemilla amauroptera,FALSE,355
356,ALCHAMB,Alchemilla amblyodes,Alchemilla amblyodes,FALSE,356
357,ALCHAMI,Alchemilla amicorum,Alchemilla amicorum,FALSE,357
358,ALCHANM,Alchemilla animosa,Alchemilla animosa,FALSE,358
359,ALCHASP,Alchemilla aspera,Alchemilla aspera,FALSE,359
360,ALCHBAB,Alchemilla babiogorens,Alchemilla babiogorensis,FALSE,360
361,ALCHBOG,Alchemilla bogumilii,Alchemilla bogumilii,FALSE,361
362,ALCHBOL,Alchemilla boleslai,Alchemilla boleslai,FALSE,362
363,ALCHBRA,Alchemilla brachycodon,Alchemilla brachycodon,FALSE,363
364,ALCHCHI,Alchemilla chilitricha,Alchemilla chilitricha,FALSE,364
365,ALCHCOO,Alche color auct. carp,Alchemilla colorata auct. carpat.,FALSE,365
366,ALCHCOT,Alchemilla contractili,Alchemilla contractilis,FALSE,366
367,ALCHCUI,Alchemilla curtischist,Alchemilla curtischista,FALSE,367
