SPECIES_NR,LETTERCODE,SHORTNAME,ABBREVIAT,SYNONYM,VALID_NR
6130,LEPRCAS,Lepraria caesioalba,Lepraria caesioalba,FALSE,6130
6131,LEPRCRA,Lepraria crasissima,Lepraria crasissima,FALSE,6131
6132,LEPRINC,Lepraria incana,Lepraria incana,FALSE,6132
6133,LEPRLAT,Lepraria latebrarum,Lepraria latebrarum,FALSE,6133
6134,LEPRLOB,Lepraria lobificans,Lepraria lobificans,FALSE,6134
6135,LEPRNEG,Lepraria neglecta,Lepraria neglecta,FALSE,6135
6136,LEPRRIG,Lepraria rigidula,Lepraria rigidula,FALSE,6136
6137,LEPR-SP,Lepraria species,Lepraria species,FALSE,6137
6138,LEPOMIC,Leprocaulon microscopi,Leprocaulon microscopicum,FALSE,6138
6139,LEPO-SP,Leprocaulon species,Leprocaulon species,FALSE,6139
6140,LEPLDIF,Leproloma diffusum,Leproloma diffusum,FALSE,6140
6141,LEPLD;D,Lepro diffu var. diffu,Leproloma diffusum var. diffusum,FALSE,6141
6142,LEPLMEM,Leproloma membranaceum,Leproloma membranaceum,FALSE,6142
6143,LEPLVOU,Leproloma vouauxii,Leproloma vouauxii,FALSE,6143
6144,LEPL-SP,Leproloma species,Leproloma species,FALSE,6144
6145,LEPTBER,Leptobarbula berica,Leptobarbula berica,FALSE,6145
6146,LEPT-SP,Leptobarbula species,Leptobarbula species,FALSE,6146
6147,LEPBPYR,Leptobryum pyriforme,Leptobryum pyriforme,FALSE,6147
6148,LEPB-SP,Leptobryum species,Leptobryum species,FALSE,6148
6149,LEPCRIP,Leptodictyum riparium,Leptodictyum riparium,FALSE,6149
6150,LEPC-SP,Leptodictyum species,Leptodictyum species,FALSE,6150
6151,LEPNSMI,Leptodon smithii,Leptodon smithii,FALSE,6151
6152,LEPN-SP,Leptodon species,Leptodon species,FALSE,6152
6153,LEPUFLE,Leptodontiu flexifoliu,Leptodontium flexifolium,FALSE,6153
