"","species_nr","lettercode","synonym","turboveg_czechia_slovakia","kaplan","expert_system","nonvascular","n"
"819",14449,"ASPLT*L",FALSE,"Asplenium trichomanes nssp. lusaticum","Asplenium trichomanes nothosubsp. lusaticum","Asplenium trichomanes nothosubsp. lusaticum",0,NA
"820",14452,"ASPLT*M",FALSE,"Asplenium trichomanes nssp. moravicum","Asplenium trichomanes nothosubsp. moravicum","Asplenium trichomanes nothosubsp. moravicum",0,NA
"821",14451,"ASPLT*O",FALSE,"Asplenium trichomanes nssp. lovisianum","Asplenium trichomanes nothosubsp. lovisianum","Asplenium trichomanes nothosubsp. lovisianum",0,NA
"822",14450,"ASPLT*S",FALSE,"Asplenium trichomanes nssp. staufferi","Asplenium trichomanes nothosubsp. staufferi","Asplenium trichomanes nothosubsp. staufferi",0,NA
"823",1049,"ASPLT-I",FALSE,"Asplenium trichomanes ssp. inexpectans","Asplenium trichomanes ssp. inexpectans","Asplenium trichomanes ssp. inexpectans",0,NA
"824",1050,"ASPLT-P",FALSE,"Asplenium trichomanes ssp. pachyrachis","Asplenium trichomanes subsp. pachyrachis","Asplenium trichomanes subsp. pachyrachis",0,NA
"825",1051,"ASPLT-Q",FALSE,"Asplenium trichomanes ssp. quadrivalens","Asplenium trichomanes subsp. quadrivalens","Asplenium trichomanes subsp. quadrivalens",0,NA
"826",13101,"ASPLTRC",FALSE,"Asplenium trichomanes ssp. hastatum","Asplenium trichomanes subsp. hastatum","Asplenium trichomanes subsp. hastatum",0,NA
"827",1048,"ASPLTRI",FALSE,"Asplenium trichomanes","Asplenium trichomanes","Asplenium trichomanes",0,13
"828",1052,"ASPLT-T",FALSE,"Asplenium trichomanes ssp. trichomanes","Asplenium trichomanes subsp. trichomanes","Asplenium trichomanes subsp. trichomanes",0,NA
"829",1053,"ASPLVIR",FALSE,"Asplenium viride","Asplenium viride","Asplenium viride",0,NA
"830",975,"ASPRA-O",FALSE,"Asperula aristata ssp. oreophila","Asperula aristata ssp. oreophila","Asperula aristata ssp. oreophila",0,NA
"831",974,"ASPRARI",FALSE,"Asperula aristata","Asperula aristata","Asperula aristata",0,NA
"832",976,"ASPRARV",FALSE,"Asperula arvensis","Asperula arvensis","Asperula arvensis",0,NA
"833",977,"ASPRCYN",FALSE,"Asperula cynanchica","Asperula cynanchica","Asperula cynanchica",0,NA
"834",978,"ASPRNEI",FALSE,"Asperula neilreichii","Asperula neilreichii","Asperula neilreichii",0,NA
