RELEVE_NR,SPECIES_NR,COVER_CODE,LAYER,_ORIG_NAME
183141,5137,+,6,
183141,5165,r,6,
183141,6472,1,6,
183141,8218,1,6,
183141,8851,4,1,
183141,8851,1,7,
183141,9408,r,7,
183141,10021,r,6,
183141,12072,1,6,
183141,12126,+,1,
183142,1174,3,6,
183142,5137,+,6,
183142,5165,+,6,
183142,6222,2a,9,
183142,8653,r,7,
183142,8851,3,1,
183142,8851,2a,7,
183142,12126,+,1,
183143,80,2m,4,
183143,83,+,7,
183143,1174,2m,6,
183143,1778,r,6,
183143,2022,r,6,
183143,2315,r,7,
183143,4283,+,6,
183143,4552,r,6,
183143,4577,1,6,
183143,5137,+,6,
183143,5165,r,6,
183143,5432,r,6,
183143,6472,+,6,
183143,6693,+,6,
183143,8218,1,6,
183143,8653,r,7,
183143,8669,r,7,
183143,8851,4,1,
183143,8851,2a,7,
183143,9533,+,6,
183143,10350,r,7,
183143,11833,1,6,
183144,1174,3,6,
183144,1778,+,6,
183144,2022,+,6,
183144,2235,+,6,
183144,4283,1,6,
183144,4611,+,6,
183144,4614,r,6,
183144,5127,1,6,
183144,5353,+,6,
183144,6472,+,6,
183144,6477,r,6,
183144,6499,1,6,
183144,8218,+,6,
183144,8851,3,1,
183144,8851,2m,4,
183144,8851,2b,7,
183145,1174,3,6,
183145,2022,+,6,
183145,4283,+,6,
183145,5127,1,6,
183145,6472,+,6,
183145,8851,4,1,
183145,8851,2b,7,
183146,446,r,6,
183146,705,2a,6,
183146,714,1,6,
183146,770,r,6,
183146,1174,1,6,
183146,1847,2m,6,
183146,2022,+,6,
183146,3123,2a,4,
183146,3123,r,7,
183146,4283,+,6,
183146,4289,1,6,
183146,4430,r,7,
183146,4589,+,6,
183146,4611,1,6,
183146,5092,2m,6,
183146,5130,r,6,
183146,5137,+,6,
183146,5148,1,6,
183146,5165,+,6,
183146,5168,2m,6,
183146,5184,1,6,
183146,6303,r,6,
183146,6472,+,6,
183146,6477,1,6,
183146,6499,1,6,
183146,8218,r,6,
183146,8375,2m,6,
183146,8851,3,1,
183146,8851,2m,4,
183146,8851,1,7,
183146,9408,+,7,
183146,9540,+,6,
183146,10023,r,6,
183146,10307,+,6,
183146,10337,r,7,
183146,10357,r,7,
183147,1174,2m,6,
183147,2315,2m,1,
183147,2315,r,7,
183147,3367,2m,6,
183147,4283,1,6,
183147,4577,+,6,
183147,5137,+,6,
183147,5165,r,6,
183147,5432,+,6,
183147,6279,2m,7,
183147,6477,1,6,
183147,6674,+,6,
183147,6696,2m,6,
183147,8168,+,6,
183147,8218,2m,6,
183147,8653,r,7,
183147,8851,4,1,
183147,8851,2a,7,
183147,9408,r,7,
183147,10337,r,7,
183147,11287,1,1,
183147,11287,r,7,
183147,11833,+,6,
183147,12126,+,1,
183148,1174,2b,6,
183148,2022,1,6,
183148,2235,+,6,
183148,4283,2m,6,
183148,5165,+,6,
183148,8851,4,1,
183148,8851,+,7,
183148,10337,r,7,
183149,83,+,7,
183149,84,r,7,
183149,1174,2m,6,
183149,1775,2m,6,
183149,2013,1,6,
183149,2315,+,7,
183149,3367,2m,6,
183149,4227,+,6,
183149,4283,1,6,
183149,4430,r,7,
183149,4538,1,6,
183149,5137,1,6,
183149,5352,r,6,
183149,5432,r,6,
183149,6472,+,6,
183149,6477,2b,6,
183149,6499,1,6,
183149,6696,+,6,
183149,6887,r,6,
183149,8218,2b,6,
183149,8851,3,1,
183149,8851,2m,7,
183149,10563,1,6,
183149,11287,2m,1,
183149,11287,2a,4,
183149,11287,1,7,
183149,11833,+,6,
183150,83,r,7,
183150,435,2m,6,
183150,2136,+,6,
183150,2250,1,6,
183150,2315,+,7,
183150,3169,r,7,
183150,3282,r,6,
183150,3367,1,6,
183150,4122,r,6,
183150,4227,+,6,
183150,4283,+,6,
183150,4537,1,6,
183150,4541,r,6,
183150,4552,+,6,
183150,4677,r,6,
183150,5137,1,6,
183150,5165,1,6,
183150,5168,+,6,
183150,5353,r,6,
183150,6477,+,6,
183150,6499,2m,6,
183150,6696,1,6,
183150,8218,2a,6,
183150,8851,4,1,
183150,8851,2m,7,
183150,9408,+,7,
183150,10205,+,6,
183150,10350,r,4,
183150,10707,+,6,
183151,80,+,7,
183151,84,+,7,
183151,193,3,6,
183151,249,+,6,
183151,435,r,6,
183151,478,3,1,
183151,647,+,6,
183151,961,2b,6,
183151,1451,+,6,
183151,1506,+,6,
183151,2018,1,6,
183151,3123,1,4,
183151,3993,+,6,
183151,4109,+,7,
183151,4419,+,6,
183151,4430,3,1,
183151,4430,+,4,
183151,4430,+,7,
183151,4532,+,6,
183151,4552,r,6,
183151,4568,+,6,
183151,4688,2m,6,
183151,5000,r,6,
183151,5432,1,6,
183151,6526,r,6,
183151,6545,+,6,
183151,6696,r,6,
183151,6743,r,6,
183151,6818,r,6,
183151,8375,r,6,
183151,8430,1,1,
183151,8430,+,4,
183151,8782,2m,6,
183151,8916,+,6,
183151,9049,r,7,
183151,10563,1,6,
183151,11287,+,4,
183151,11644,+,6,
183151,11822,+,6,
183151,12024,r,7,
183151,12059,+,6,
183151,12101,+,6,
183152,80,r,1,
183152,80,+,7,
183152,83,+,7,
183152,84,r,7,
183152,193,+,6,
183152,435,+,6,
183152,647,+,6,
183152,961,2m,6,
183152,1451,+,6,
183152,2013,r,6,
183152,2018,+,6,
183152,2032,+,6,
183152,2206,1,6,
183152,2271,2b,6,
183152,2315,4,1,
183152,2315,1,4,
183152,2315,1,7,
183152,2954,+,6,
183152,3067,+,6,
183152,3123,+,7,
183152,3157,r,7,
183152,3282,+,6,
183152,3367,+,6,
183152,4109,r,7,
183152,4123,+,6,
183152,4419,+,6,
183152,4532,1,6,
183152,4552,+,6,
183152,4568,+,6,
183152,4677,+,6,
183152,4688,+,6,
183152,4991,2m,6,
183152,5137,r,6,
183152,5432,+,6,
183152,5680,+,6,
183152,5730,+,6,
183152,6526,+,6,
183152,6696,2b,6,
183152,6887,+,6,
183152,6941,+,6,
183152,8218,1,6,
183152,8782,1,6,
183152,8851,2a,7,
183152,8855,2b,1,
183152,9201,r,7,
183152,9408,r,7,
183152,9693,r,7,
183152,10563,+,6,
183152,11287,+,7,
183152,11602,r,7,
183152,11822,+,6,
183152,11833,r,6,
183152,12059,r,6,
183152,12097,+,6,
183152,12109,+,6,
183153,234,+,6,
183153,478,4,1,
183153,798,r,6,
183153,1350,2a,6,
183153,1390,2a,6,
183153,1451,r,6,
183153,1952,2a,6,
183153,1968,r,6,
183153,2168,1,6,
183153,3169,r,7,
183153,3473,+,6,
183153,4109,r,7,
183153,4552,r,6,
183153,4558,+,6,
183153,4688,r,6,
183153,5432,+,6,
183153,5470,1,6,
183153,5652,r,6,
183153,6520,1,6,
183153,6529,2a,6,
183153,6716,1,6,
183153,6887,r,6,
183153,7001,+,6,
183153,7865,r,6,
183153,8219,+,6,
183153,8227,r,6,
183153,8935,+,6,
183153,8963,2a,6,
183153,9199,r,7,
183153,9408,r,7,
183153,9559,r,6,
183153,9693,r,7,
183153,10267,1,6,
183153,10304,r,6,
183153,10327,r,6,
183153,10679,r,6,
183153,11644,1,6,
183153,11816,+,6,
183153,12270,1,6,
183153,12276,r,6,
183153,50019,+,6,
183154,80,+,7,
183154,84,1,4,
183154,84,+,7,
183154,193,r,6,
183154,478,4,1,
183154,478,2m,4,
183154,478,r,7,
183154,660,+,6,
183154,1952,+,6,
183154,1968,r,6,
183154,2168,2m,6,
183154,2809,+,6,
183154,2944,r,6,
183154,3993,1,6,
183154,4109,+,4,
183154,4109,+,7,
183154,4430,+,4,
183154,4430,+,7,
183154,4544,r,6,
183154,4552,r,6,
183154,4677,r,6,
183154,4688,r,6,
183154,5432,1,6,
183154,6520,r,6,
183154,6529,+,6,
183154,6718,+,6,
183154,6941,r,6,
183154,8653,r,7,
183154,8782,+,6,
183154,8935,r,6,
183154,8963,+,6,
183154,9199,+,4,
183154,9199,+,7,
183154,9408,r,7,
183154,9437,+,6,
183154,9693,r,7,
183154,9922,4,6,
183154,10267,1,6,
183154,10337,r,7,
183154,11644,+,6,
183154,11816,r,6,
183154,12024,r,7,
183155,80,1,1,
183155,80,r,7,
183155,83,+,7,
183155,84,3,1,
183155,84,1,4,
183155,84,+,7,
183155,961,2b,6,
183155,2315,3,1,
183155,2639,2m,6,
183155,3092,+,4,
183155,3092,+,7,
183155,3169,+,7,
183155,4109,+,7,
183155,4111,r,7,
183155,4430,+,4,
183155,4430,+,7,
183155,4532,2a,6,
183155,4552,r,6,
183155,4677,r,6,
183155,4688,+,6,
183155,5432,2m,6,
183155,5664,2a,6,
183155,6386,1,4,
183155,6887,r,6,
183155,8374,2a,6,
183155,8782,2a,6,
183155,9693,+,4,
183155,9693,1,7,
183155,11602,+,4,
183155,11602,+,7,
183155,12097,+,6,
183156,80,4,1,
183156,80,+,4,
183156,83,+,4,
183156,188,r,6,
183156,193,r,6,
183156,435,r,6,
183156,961,+,6,
183156,2315,+,1,
183156,3794,+,6,
183156,4220,r,4,
183156,4430,+,4,
183156,4532,3,6,
183156,4677,r,6,
183156,5431,3,6,
183156,5432,r,6,
183156,6887,r,6,
183156,7447,+,6,
183156,8782,+,6,
183156,8851,+,1,
183156,9693,+,4,
183156,10530,+,6,
183156,10563,1,6,
183156,10685,1,6,
183156,11602,1,4,
183156,11644,+,6,
183157,80,+,7,
183157,84,1,1,
183157,84,+,7,
183157,193,+,6,
183157,249,+,6,
183157,647,r,6,
183157,961,+,6,
183157,2315,4,1,
183157,2315,+,7,
183157,2791,+,6,
183157,3282,r,6,
183157,3794,r,6,
183157,4123,+,6,
183157,4271,r,6,
183157,4420,r,6,
183157,4532,2a,6,
183157,4552,+,6,
183157,4568,2b,6,
183157,4584,r,6,
183157,4677,+,6,
183157,4688,r,6,
183157,5431,r,6,
183157,5432,r,6,
183157,6696,2a,6,
183157,7447,+,6,
183157,7552,+,6,
183157,8599,+,6,
183157,8782,1,6,
183157,10107,r,6,
183157,10198,+,6,
183157,10530,r,6,
183157,10563,2b,6,
183157,10685,1,6,
183157,11287,2m,4,
183157,11287,+,7,
183157,11602,1,7,
183157,11644,r,6,
183157,12109,+,6,
183157,12110,+,6,
183158,80,r,7,
183158,83,2a,1,
183158,83,r,4,
183158,83,+,7,
183158,84,2a,1,
183158,84,+,7,
183158,167,+,6,
183158,647,+,6,
183158,961,1,6,
183158,2248,r,6,
183158,2315,3,1,
183158,2315,r,7,
183158,2791,+,6,
183158,3282,r,6,
183158,3346,r,6,
183158,3453,r,6,
183158,3794,3,6,
183158,3956,+,6,
183158,4220,+,7,
183158,4532,1,6,
183158,4552,+,6,
183158,4677,1,6,
183158,5431,+,6,
183158,5432,+,6,
183158,6477,+,6,
183158,6693,r,6,
183158,6696,+,6,
183158,6887,r,6,
183158,6941,+,6,
183158,7447,+,6,
183158,7552,+,6,
183158,8218,2a,6,
183158,8782,+,6,
183158,9985,+,6,
183158,10107,+,6,
183158,10563,2a,6,
183158,11288,+,4,
183158,11288,r,7,
183158,11602,r,4,
183158,11602,+,7,
183158,12101,r,6,
183158,12109,+,6,
183159,80,+,7,
183159,84,+,7,
183159,961,+,6,
183159,1451,+,6,
183159,2206,+,6,
183159,2271,2a,6,
183159,2315,3,1,
183159,2315,r,7,
183159,3282,+,6,
183159,3346,+,6,
183159,3794,1,6,
183159,4430,1,7,
183159,4532,2a,6,
183159,4552,+,6,
183159,4584,1,6,
183159,4677,1,6,
183159,4991,1,6,
183159,5127,r,6,
183159,5431,+,6,
183159,5432,r,6,
183159,6386,r,4,
183159,6477,+,6,
183159,6545,+,6,
183159,6693,+,6,
183159,6941,+,6,
183159,8218,+,6,
183159,8374,r,6,
183159,8653,+,7,
183159,8784,+,6,
183159,8851,2b,1,
183159,8851,r,7,
183159,9693,+,7,
183159,10337,+,7,
183159,10563,1,6,
183159,10685,+,6,
183159,11287,+,7,
183159,12109,+,6,
183160,80,2a,1,
183160,80,r,7,
183160,193,4,6,
183160,249,+,6,
183160,435,+,6,
183160,461,+,6,
183160,478,3,1,
183160,651,+,6,
183160,722,+,6,
183160,798,r,6,
183160,802,r,6,
183160,1390,r,6,
183160,1451,+,6,
183160,2123,r,6,
183160,2636,2a,6,
183160,2809,+,6,
183160,3157,2a,4,
183160,3367,r,6,
183160,3867,+,6,
183160,4271,r,6,
183160,4532,+,6,
183160,4552,+,6,
183160,4688,+,6,
183160,5270,+,6,
183160,5431,2a,6,
183160,5432,+,6,
183160,5664,r,6,
183160,6526,r,6,
183160,6887,r,6,
183160,7001,+,6,
183160,7447,r,6,
183160,8218,r,6,
183160,8659,+,4,
183160,8659,+,7,
183160,8784,+,6,
183160,8935,r,6,
183160,8963,+,6,
183160,9617,r,7,
183160,9636,2a,1,
183160,9693,+,4,
183160,9693,r,7,
183160,9985,+,6,
183160,10267,+,6,
183160,10530,+,6,
183160,10563,+,6,
183160,10679,+,6,
183160,10685,+,6,
